Sembol,Tarih,Fiyat (Son),Sinyal,Skor (Al),Skor (Sat),Elmas Formasyonu,AlphaTrend,MA,MACD,MACD_Signal,MACD_Positive,RSI,ADX,OBV_Diff,BB_Low,BB_Mavg,BB_High,BB_W,EMA20_gt_EMA50_gt_EMA200,Dipten Uzaklık (%),ATH'ye Uzaklık (%),ATH Breakout,ATH Dip Potansiyeli,Cup&Handle Formasyonu,Bull Flag Formasyonu,TOBO Formasyonu,Gelişmiş TOBO,EW_WaveType_1d,EW_CurrentWave_1d,EW_Phase_1d,EW_LastPivotTime_1d,EW_LastPivotPrice_1d,EW_WaveType_4h,EW_CurrentWave_4h,EW_Phase_4h,EW_LastPivotTime_4h,EW_LastPivotPrice_4h,EW_Direction_1d,EW_AsOf_1d,EW_Direction_4h,EW_AsOf_4h,EMA5_137 Sinyal,EMA5_137 Sinyal_Numeric,EMA3_199 Sinyal,EMA3_199 Sinyal_Numeric,EMA3_200 Sinyal,EMA3_200 Sinyal_Numeric,SMA5_137_15m_Sinyal,SMA5_137_15m_Sinyal_Numeric,SMA5_137_15m_Sinyal_Filt,SMA5_137_15m_Sinyal_Filt_Numeric,SMA5_137_15m_CrossTime,SMA5_137_15m_BarsSinceCross,SMA5_137_1h_Sinyal,SMA5_137_1h_Sinyal_Numeric,SMA5_137_1h_Sinyal_Filt,SMA5_137_1h_Sinyal_Filt_Numeric,SMA5_137_1h_CrossTime,SMA5_137_1h_BarsSinceCross,SMA5_137_4h_Sinyal,SMA5_137_4h_Sinyal_Numeric,SMA5_137_4h_Sinyal_Filt,SMA5_137_4h_Sinyal_Filt_Numeric,SMA5_137_4h_CrossTime,SMA5_137_4h_BarsSinceCross,SMA5_137_1d_Sinyal,SMA5_137_1d_Sinyal_Numeric,SMA5_137_1d_Sinyal_Filt,SMA5_137_1d_Sinyal_Filt_Numeric,SMA5_137_1d_CrossTime,SMA5_137_1d_BarsSinceCross,CandleGoldenCross_Over,Confirmed_BUY,Confirmed_SELL,CandleGoldenCross_Over_Confirmed_BUY,Confirmed_SELL_CandleCrossUnder,STOP Fiyat,TP Fiyat,Haftalık Değişim (%),Aylık Değişim (%),Ortalama Hacim (TL),F/K,PD/DD,Yorumlar,PUANLAMA_V4,TP Oran (%),Sinyal_Sort,VolumeDeltaUp_Sort,Formasyon_Sort,FormasyonTazeKirilim,BONUS_SCORE,DipSkor,ATHSkor,OBVSkor,TazeSkor,FinalSkorEx,__FDTT_NET_TL,__FDTT_ADV7_TL,KURUM_FDTT_SINYAL,__AKD_1D_NET_TL_NORM_ND,__AKD_3D_NET_TL_NORM_ND,KURUM_AKD_SINYAL,__AKD_PUAN,__FDTT_PUAN,__KURUM_PUAN,AL_VETO_SHOCK,__TURNOVER_1D,__TURNOVER_3D,__FF_MCAP,AKD_NOTE,GUNLUK_FARK,__FDTT_NET_PP,__FDTT_NET_TL_NORM,__AKD_RECENCY_COMBO,KURUM_AKD_SKOR,FinalSkorPlus,HisseBazli_Pattern_Skoru,HisseBazli_Beklenen_5g,HisseBazli_Beklenen_15g,HisseBazli_Ref_Tarih,HisseBazli_Ref_Max_5g,HisseBazli_Ref_Max_15g,Global_Beklenen_5g,Global_Beklenen_15g,Global_Combo_Skor_5g,Global_Combo_Skor_15g,Son_Gun_%,Son_5Gun_%,Beklenen_5g_Toplam,Beklenen_15g_Toplam,Ana_Beklenen,Kaynak_HisseBazli,Kaynak_Global,Teknik_Skor_Basit
OZYSR,2025-12-16,44.32,0,0,0,0,45.06,43.93,1.19,1.59,0,53.77,26.85,-1346190.0,41.09,45.48,49.87,19.29,1,119.19,10.32,0,0,0,0,0,0,ImpulseUp,2,Düşüş Başlangıcı,2025-10-14 00:00,36.92,ImpulseDown,4,Başlangıç,2025-12-11 04:00,39.6,up,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-16 13:45,4,-,0,SAT,-50,2025-12-16 12:30,2.0,-,0,AL,50,2025-10-22 12:00,113.0,-,0,-,0,,,0,0,0,0,0,39.98,48.66,5.27,3.07,66437729,35.17,1.58,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (6.53%) | ATR STOP: 39.98, TP: 48.66 | 1H:%5.27 | 1A:%3.07",3,9.79,0,0,0,0,0,-119.19,-10.32,-1346190.0,0,-105.86,324203952.61,56431863.43,1.0,-0.02,-0.01,0.0,0.0,3.0,1.0,0.0,0.05,0.23,1229181383.84,AKD nötr/negatif,-3.57,26.38,5.75,-0.02,16.0,-89.86,0.75,4.47,43.33,2025-10-16,4.47,43.33,,,,,0.0,-0.63,4.47,43.33,43.33,1,0,0.0
LYDHO,2025-12-16,174.4,-50,0,4,0,181.98,176.04,0.68,2.27,0,49.72,26.19,905063.0,165.16,178.51,191.86,14.95,1,115.57,18.39,0,0,0,0,0,0,ImpulseUp,2,Düşüş Başlangıcı,2025-10-07 00:00,136.6,ImpulseUp,5,Yükseliş Başlangıcı,2025-12-15 12:00,169.0,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-16 09:30,21,-,0,SAT,-50,2025-12-10 09:30,41.0,-,0,AL,50,2025-10-27 04:00,106.0,-,0,AL,50,2025-07-11 00:00,111.0,0,0,1,0,0,159.85,188.95,-0.34,-7.72,187766824,5813.33,13.79,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (5.56%) | ATR STOP: 159.85, TP: 188.95 | 1H:%-0.34 | 1A:%-7.72 | Confirmed SELL (alphaTrend teyidi)",1,8.34,0,0,0,0,0,-115.57,-18.39,905063.0,0,-109.54,7131334787.03,286849210.0,1.0,0.01,0.01,0.0,0.0,3.0,1.0,0.0,0.02,0.05,7702528600.0,AKD nötr/negatif,2.59,92.58,24.86,0.01,18.0,-91.54,0.75,-1.9,54.21,2025-10-08,-1.9,54.21,,,,,0.0,-0.34,-1.9,54.21,54.21,1,0,-0.67
METRO,2025-12-16,4.98,-50,0,4,0,5.48,5.33,0.03,0.1,0,42.86,20.58,-5651600.0,4.37,5.24,6.12,33.47,1,116.52,21.94,0,100,1,0,0,0,ImpulseUp,2,Düşüş Başlangıcı,2025-08-26 00:00,4.88,ImpulseUp,4,Başlangıç,2025-12-05 12:00,6.45,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-09 08:00,192,-,0,SAT,-50,2025-12-12 12:30,20.0,-,0,SAT,-50,2025-12-15 04:00,5.0,-,0,-,0,,,0,0,1,0,0,4.5,5.46,-11.39,-4.05,80312744,1.24,0.6,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (6.45%) | Gelişmiş Cup & Handle | ATR STOP: 4.5, TP: 5.46 | 1H:%-11.39 | 1A:%-4.05 | Confirmed SELL (alphaTrend teyidi)",1,9.64,0,0,1,0,0,-116.52,-21.94,-5651600.0,0,-115.32,457310911.48,139280003.71,1.0,-0.0,-0.01,0.0,0.0,3.0,1.0,0.0,0.02,0.07,1617074719.02,AKD nötr/negatif,-2.16,28.28,3.28,-0.0,16.0,-99.32,0.67,30.13,40.25,2025-10-02,30.13,40.25,,,,,0.0,-10.27,30.13,40.25,40.25,1,0,-0.67
ECILC,2025-12-16,83.7,-50,0,4,0,87.79,89.27,-1.72,-0.5,0,37.28,19.47,-3526161.0,79.38,92.37,105.37,28.14,1,119.63,25.4,0,100,0,0,1,0,ImpulseUp,3,Yükseliş Başlangıcı,2025-11-07 00:00,74.0,ImpulseDown,3,Düşüş Başlangıcı,2025-12-02 08:00,95.1,up,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-10 09:45,152,-,0,SAT,-50,2025-11-27 10:30,121.0,-,0,SAT,-50,2025-12-04 08:00,25.0,-,0,-,0,,,0,0,1,0,0,78.17,89.23,-3.52,-14.5,548516859,24.26,1.0,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (4.4%) | Gelişmiş TOBO formasyonu | ATR STOP: 78.17, TP: 89.23 | 1H:%-3.52 | 1A:%-14.5 | Confirmed SELL (alphaTrend teyidi)",1,6.61,0,0,1,0,0,-119.63,-25.4,-3526161.0,0,-118.53,8555946237.21,463040688.0,1.0,-0.02,-0.02,0.0,0.0,3.0,1.0,0.0,0.03,0.1,10753899624.9,AKD nötr/negatif,-0.36,79.56,18.48,-0.02,16.0,-102.53,0.83,28.77,28.77,2025-11-09,28.77,28.77,,,,,0.0,-3.46,28.77,28.77,28.77,1,0,-1.67
BLCYT,2025-12-16,33.4,0,0,0,0,34.58,33.13,1.35,2.08,0,54.32,47.71,895009.0,29.51,33.74,37.96,25.05,1,138.74,16.63,0,0,1,0,1,0,ImpulseUp,5,Başlangıç,2025-10-17 00:00,22.5,ImpulseUp,3,Yükseliş Başlangıcı,2025-12-08 12:00,32.46,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-16 11:15,14,-,0,SAT,-50,2025-12-15 07:30,16.0,-,0,AL,50,2025-10-21 04:00,118.0,-,0,-,0,,,0,0,0,0,0,30.56,36.24,-0.18,8.09,75793841,23.19,0.85,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (5.66%) | Gelişmiş TOBO formasyonu | Gelişmiş Cup & Handle | ATR STOP: 30.56, TP: 36.24 | 1H:%-0.18 | 1A:%8.09",4,8.5,0,0,1,0,0,-138.74,-16.63,895009.0,0,-120.38,-502207128.13,150432924.71,0.0,0.0,0.03,0.0,0.0,-3.0,-1.0,0.0,0.02,0.07,1639243676.8,AKD nötr/negatif,0.06,-30.64,-3.34,0.01,-13.0,-133.38,0.75,20.76,42.8,2025-10-22,20.76,42.8,,,,,0.0,-0.89,20.76,42.8,42.8,1,0,0.33
PINSU,2025-12-16,13.05,0,0,0,1,13.09,13.07,0.0,0.0,1,49.84,25.76,-3085072.0,11.99,13.04,14.09,16.1,1,146.23,11.59,0,0,1,0,0,0,ImpulseUp,5,Orta,2025-11-14 00:00,12.1,ImpulseUp,4,Orta,2025-12-12 04:00,13.67,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-16 08:15,26,-,0,SAT,-50,2025-12-16 09:30,5.0,-,0,SAT,-50,2025-12-15 12:00,3.0,-,0,-,0,,,0,0,0,0,0,12.16,13.94,1.4,2.11,106730427,0.0,1.57,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (4.57%) | Gelişmiş Cup & Handle | Gelişmiş Elmas | ATR STOP: 12.16, TP: 13.94 | 1H:%1.4 | 1A:%2.11",4,6.82,0,0,1,0,0,-146.23,-11.59,-3085072.0,0,-130.21,253506453.1,91611821.71,1.0,-0.02,0.01,0.0,0.0,3.0,1.0,0.0,0.03,0.16,1199106323.1,AKD nötr/negatif,-1.44,21.14,2.77,-0.01,22.0,-108.21,0.67,25.49,29.52,2025-10-07,25.49,29.52,,,,,0.0,1.48,25.49,29.52,29.52,1,0,0.33
SAFKR,2025-12-16,25.04,0,0,0,0,25.25,25.07,0.09,0.06,1,50.4,14.27,-4815783.0,23.44,25.1,26.75,13.21,1,155.29,7.19,0,0,1,0,0,0,ImpulseUp,5,Orta,2025-11-28 00:00,23.1,ImpulseUp,4,Orta,2025-12-11 08:00,26.68,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-16 13:30,5,-,0,AL,50,2025-12-15 13:30,10.0,-,0,AL,50,2025-10-20 04:00,121.0,-,0,-,0,,,0,0,0,0,0,23.25,26.83,-4.06,-5.86,112990362,48.15,4.71,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (4.76%) | Gelişmiş Cup & Handle | ATR STOP: 23.25, TP: 26.83 | 1H:%-4.06 | 1A:%-5.86",1,7.15,0,0,1,0,0,-155.29,-7.19,-4815783.0,0,-150.9,2186924054.63,70954004.29,1.0,0.06,0.04,1.0,2.0,3.0,2.0,0.0,0.04,0.1,3346384562.24,AKD pozitif (1g norm),-1.8,65.35,30.82,0.05,39.0,-111.9,0.67,26.84,36.02,2025-10-16,26.84,36.02,,,,,0.0,-1.42,26.84,36.02,36.02,1,0,-0.67
AHSGY,2025-12-16,14.64,50,4,0,0,14.26,14.24,0.2,0.16,1,55.07,23.34,-4053495.0,13.4,14.33,15.27,13.04,1,189.67,7.8,0,0,1,0,0,0,ImpulseDown,2,Yükseliş Başlangıcı,2025-09-25 00:00,10.7,ImpulseUp,2,Düşüş Başlangıcı,2025-12-05 04:00,14.67,down,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-12 14:45,66,-,0,AL,50,2025-12-15 08:30,15.0,-,0,AL,50,2025-07-16 04:00,325.0,-,0,AL,50,2025-07-21 00:00,106.0,0,0,0,0,0,13.1,16.18,4.95,-0.52,49300147,0.0,1.52,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (7.04%) | Gelişmiş Cup & Handle | ATR STOP: 13.1, TP: 16.18 | 1H:%4.95 | 1A:%-0.52",5,10.52,2,0,1,0,0,-189.67,-7.8,-4053495.0,0,-169.16,6745393247.16,36150078.0,1.0,-0.09,-0.03,0.0,-2.0,3.0,0.0,0.0,0.02,0.06,2708020750.8,AKD nötr/negatif,-4.81,249.09,186.59,-0.07,-10.0,-179.16,0.75,26.37,26.37,2025-10-26,26.37,26.37,,,,,0.0,3.39,26.37,26.37,26.37,1,0,0.67
BULGS,2025-12-16,42.46,-50,0,4,0,43.92,43.48,-0.17,0.55,0,47.52,24.83,14332322.0,40.09,44.75,49.41,20.84,1,217.1,16.91,0,0,1,1,0,0,ImpulseUp,3,Yükseliş Başlangıcı,2025-11-10 00:00,40.18,ImpulseUp,4,Başlangıç,2025-12-10 08:00,47.18,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-16 09:30,21,-,0,SAT,-50,2025-12-03 13:30,82.0,-,0,SAT,-50,2025-12-15 04:00,5.0,-,0,-,0,,,0,0,1,0,0,38.43,46.49,-1.3,-9.0,588114533,35.38,1.75,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (6.33%) | Gelişmiş Cup & Handle | Gelişmiş Bull Flag | ATR STOP: 38.43, TP: 46.49 | 1H:%-1.3 | 1A:%-9.0 | Confirmed SELL (alphaTrend teyidi)",2,9.49,0,0,1,0,0,-217.1,-16.91,14332322.0,0,-205.1,3217986249.72,351796944.86,1.0,0.01,-0.01,0.0,0.0,3.0,1.0,0.0,0.2,0.42,3078177102.88,AKD nötr/negatif,3.26,104.54,9.15,0.0,22.0,-183.1,0.75,2.03,48.9,2025-10-05,2.03,48.9,,,,,0.0,1.05,2.03,48.9,48.9,1,0,-0.33
TDGYO,2025-12-16,39.56,50,4,0,0,36.87,33.46,2.47,1.62,1,82.78,40.71,945395.0,26.82,32.75,38.69,36.24,1,259.64,0.0,100,0,0,0,0,0,ImpulseUp,5,Başlangıç,2025-11-19 00:00,27.32,ImpulseUp,4,Düşüş Başlangıcı,2025-12-05 04:00,31.88,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-05 13:45,235,-,0,AL,50,2025-12-04 13:30,73.0,-,0,AL,50,2025-07-18 12:00,317.0,-,0,AL,50,2025-07-22 00:00,105.0,0,1,0,0,0,37.01,42.11,19.66,23.7,36909702,0.0,7.86,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATH Breakout! (uzaklık %0.0) | ATR Oranı düşük (4.3%) | ATR STOP: 37.01, TP: 42.11 | 1H:%19.66 | 1A:%23.7 | Confirmed BUY (alphaTrend teyidi)",9,6.45,2,0,0,0,0,-259.64,-0.0,945395.0,0,-217.91,754460917.25,31300362.29,1.0,-0.07,-0.01,0.0,-2.0,3.0,0.0,0.0,0.02,0.06,2329509628.36,AKD nötr/negatif,0.82,32.39,24.1,-0.05,13.0,-204.91,0.75,31.6,32.18,2025-10-29,31.6,32.18,,,,,0.0,11.56,31.6,32.18,32.18,1,0,-2.0
SKYLP,2025-12-16,260.0,0,0,0,0,259.76,248.12,9.06,16.42,0,55.07,17.61,75919.0,214.05,259.83,305.61,35.24,1,255.68,15.31,0,0,0,0,0,0,ImpulseUp,3,Orta,2025-11-27 00:00,227.0,ImpulseDown,2,Orta,2025-11-27 12:00,227.0,up,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-08 06:45,27,AL,50,AL,50,2025-12-16 14:30,0.0,-,0,AL,50,2025-10-20 12:00,119.0,-,0,AL,50,2025-08-12 00:00,90.0,0,0,0,0,0,232.09,287.91,4.29,-9.57,20973522,0.0,10.77,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (7.16%) | ATR STOP: 232.09, TP: 287.91 | 1H:%4.29 | 1A:%-9.57",3,10.73,0,0,0,0,0,-255.68,-15.31,75919.0,0,-241.5,2206784103.31,27878759.86,1.0,-0.05,-0.16,0.0,-4.0,3.0,-1.0,0.0,0.01,0.04,1324024780.0,AKD nötr/negatif,6.17,166.67,79.16,-0.08,8.0,-233.5,0.67,4.28,108.64,2025-10-09,4.28,108.64,,,,,0.0,8.06,4.28,108.64,108.64,1,0,0.0
CEMZY,2025-12-16,41.96,-50,0,4,0,43.52,42.99,0.15,0.96,0,48.0,21.63,4715383.0,37.0,43.62,50.24,30.36,1,280.42,25.07,0,100,1,0,0,0,ImpulseUp,3,Orta,2025-11-18 00:00,34.36,ImpulseDown,3,Düşüş Başlangıcı,2025-12-11 04:00,44.24,up,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,AL,50,AL,50,2025-12-16 14:45,0,-,0,SAT,-50,2025-12-09 07:30,52.0,-,0,SAT,-50,2025-12-12 08:00,7.0,-,0,AL,50,2025-07-21 00:00,105.0,0,0,0,0,0,37.04,46.88,-1.27,19.82,175728875,0.0,4.18,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (7.82%) | Gelişmiş Cup & Handle | ATR STOP: 37.04, TP: 46.88 | 1H:%-1.27 | 1A:%19.82",4,11.73,0,0,1,0,0,-280.42,-25.07,4715383.0,0,-262.67,8138710343.37,107936311.43,1.0,-0.02,-0.02,0.0,0.0,3.0,1.0,0.0,0.04,0.06,5206632405.4,AKD nötr/negatif,2.24,156.31,75.4,-0.02,18.0,-244.67,0.75,10.38,83.58,2025-10-06,10.38,83.58,,,,,0.0,-0.19,10.38,83.58,83.58,1,0,0.33
ODINE,2025-12-16,289.0,50,4,0,0,266.99,260.71,15.41,12.18,1,71.15,32.2,416737.0,205.2,252.25,299.3,37.31,1,318.84,3.02,0,0,0,0,0,0,ImpulseUp,5,Başlangıç,2025-11-27 00:00,206.8,ImpulseUp,3,Başlangıç,2025-12-04 12:00,253.25,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-02 09:45,350,-,0,AL,50,2025-12-03 06:30,89.0,-,0,AL,50,2025-06-26 04:00,364.0,-,0,AL,50,2025-07-22 00:00,104.0,0,1,0,0,0,268.56,309.44,4.71,16.34,280847721,85.0,15.57,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (4.72%) | ATR STOP: 268.56, TP: 309.44 | 1H:%4.71 | 1A:%16.34 | Confirmed BUY (alphaTrend teyidi)",7,7.07,2,0,0,0,0,-318.84,-3.02,416737.0,0,-286.02,51993153.47,116659903.57,1.0,0.06,0.07,1.0,2.0,1.0,2.0,0.0,0.02,0.03,7919962057.0,AKD pozitif (1g norm),1.94,0.66,0.45,0.06,47.0,-239.02,0.75,7.47,48.31,2025-10-14,7.47,48.31,,,,,0.0,4.14,7.47,48.31,48.31,1,0,0.33
BMSTL,2025-12-16,118.0,100,3,0,0,106.81,107.22,6.13,7.63,0,60.42,46.31,1179836.0,91.35,110.39,129.43,34.5,1,325.99,6.65,0,0,1,0,0,0,ImpulseUp,5,Orta,2025-12-10 00:00,94.2,ImpulseUp,3,Orta,2025-12-04 12:00,113.8,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-11 10:15,117,-,0,AL,50,2025-12-15 12:30,11.0,-,0,AL,50,2025-10-30 08:00,100.0,-,0,-,0,,,0,0,0,0,0,103.63,132.37,16.03,10.59,463515957,0.0,13.37,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı yüksek (8.12%) | Gelişmiş Cup & Handle | ATR STOP: 103.63, TP: 132.37 | 1H:%16.03 | 1A:%10.59",7,12.18,1,0,1,0,0,-325.99,-6.65,1179836.0,0,-293.46,1842232048.38,231153074.29,1.0,-0.01,0.05,0.0,0.0,3.0,1.0,0.0,0.02,0.05,8821501702.0,AKD nötr/negatif,1.2,20.88,7.97,0.01,21.0,-272.46,0.67,-4.26,49.02,2025-10-09,-4.26,49.02,,,,,0.0,8.76,-4.26,49.02,49.02,1,0,0.33
BURCE,2025-12-16,60.1,50,4,0,0,55.82,47.72,5.62,4.68,1,73.02,32.64,514978.0,30.76,45.87,60.98,65.89,1,339.65,0.0,100,0,1,0,0,0,ImpulseUp,5,Başlangıç,2025-11-17 00:00,31.26,ImpulseUp,2,Düşüş Başlangıcı,2025-12-05 08:00,56.2,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-11 09:45,14,-,0,AL,50,2025-11-26 12:30,93.0,-,0,AL,50,2025-09-16 08:00,192.0,-,0,AL,50,2025-07-28 00:00,101.0,0,0,0,0,0,54.54,65.66,19.48,70.54,48530930,0.0,4.63,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATH Breakout! (uzaklık %0.0) | ATR Oranı düşük (6.17%) | Gelişmiş Cup & Handle | ATR STOP: 54.54, TP: 65.66 | 1H:%19.48 | 1A:%70.54",9,9.25,2,0,1,0,0,-339.65,-0.0,514978.0,0,-298.14,-279029203.43,35078684.29,0.0,-0.08,-0.01,0.0,-2.0,-3.0,-2.0,0.0,0.01,0.04,2667676970.4,AKD nötr/negatif,3.62,-10.46,-7.95,-0.06,-44.0,-342.14,0.75,51.58,51.58,2025-10-20,51.58,51.58,,,,,0.0,13.5,51.58,51.58,51.58,1,0,1.0
MAGEN,2025-12-16,37.9,50,4,0,0,34.18,33.85,1.82,1.45,1,72.47,44.74,10933009.0,29.56,33.5,37.43,23.51,1,399.74,0.0,100,0,1,0,0,0,ImpulseUp,5,Başlangıç,2025-12-03 00:00,30.56,ImpulseUp,5,Başlangıç,2025-12-12 12:00,34.6,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-15 08:00,60,-,0,AL,50,2025-12-04 07:30,79.0,-,0,AL,50,2025-05-08 04:00,459.0,-,0,-,0,,,0,0,0,0,0,35.22,40.58,5.69,13.47,232837119,0.0,2.96,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATH Breakout! (uzaklık %0.0) | ATR Oranı düşük (4.71%) | Gelişmiş Cup & Handle | ATR STOP: 35.22, TP: 40.58 | 1H:%5.69 | 1A:%13.47 | Volume Delta pozitif",9,7.07,2,1,1,0,0,-399.74,-0.0,10933009.0,0,-356.53,69071112517.89,417932212.57,1.0,0.06,0.05,1.0,2.0,3.0,2.0,0.0,0.01,0.07,27268193801.1,AKD pozitif (1g norm),3.16,253.3,165.27,0.06,39.0,-317.53,0.75,29.82,33.57,2025-10-22,29.82,33.57,,,,,0.0,6.28,29.82,33.57,33.57,1,0,1.0
KLRHO,2025-12-16,237.5,50,4,0,0,207.31,189.74,24.01,15.87,1,80.29,49.48,1812699.0,119.4,181.48,243.56,68.41,1,908.06,0.42,100,0,1,0,0,0,ImpulseUp,5,Başlangıç,2025-11-06 00:00,120.2,ImpulseUp,5,Orta,2025-12-16 08:00,215.0,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-16 10:30,17,-,0,AL,50,2025-11-18 07:30,187.0,-,0,AL,50,2025-09-12 08:00,198.0,-,0,-,0,,,0,0,0,0,0,214.05,260.95,11.98,75.41,432063002,247.4,13.01,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATH Breakout! (uzaklık %0.42) | ATR Oranı düşük (6.58%) | Gelişmiş Cup & Handle | ATR STOP: 214.05, TP: 260.95 | 1H:%11.98 | 1A:%75.41",9,9.87,2,0,1,0,0,-908.06,-0.42,1812699.0,0,-866.08,105299002095.08,470915938.86,1.0,0.06,0.02,1.0,2.0,3.0,2.0,0.0,0.01,0.02,81046042562.5,AKD pozitif (1g norm),1.93,129.92,223.6,0.05,36.0,-830.08,0.67,8.81,47.3,2025-09-29,8.81,47.3,,,,,0.0,4.17,8.81,47.3,47.3,1,0,-2.0
