Sembol,Tarih_5g,Fiyat (Son),Sinyal_5g,Skor (Al)_5g,Skor (Sat)_5g,Elmas Formasyonu_5g,AlphaTrend_5g,MA_5g,MACD_5g,MACD_Signal_5g,MACD_Positive_5g,RSI_5g,ADX_5g,OBV_Diff_5g,BB_Low_5g,BB_Mavg_5g,BB_High_5g,BB_W_5g,EMA20_gt_EMA50_gt_EMA200_5g,Dipten Uzaklık (%)_5g,ATH'ye Uzaklık (%)_5g,ATH Breakout_5g,ATH Dip Potansiyeli_5g,Cup&Handle Formasyonu_5g,Bull Flag Formasyonu_5g,TOBO Formasyonu_5g,Gelişmiş TOBO_5g,EMA5_137 Sinyal_5g,EMA5_137 Sinyal_Numeric_5g,EMA3_199 Sinyal_5g,EMA3_199 Sinyal_Numeric_5g,EMA3_200 Sinyal_5g,EMA3_200 Sinyal_Numeric_5g,CandleGoldenCross_Over_5g,Confirmed_BUY_5g,Confirmed_SELL_5g,CandleGoldenCross_Over_Confirmed_BUY_5g,Confirmed_SELL_CandleCrossUnder_5g,STOP Fiyat_5g,TP Fiyat_5g,Haftalık Değişim (%)_5g,Aylık Değişim (%)_5g,Ortalama Hacim (TL)_5g,F/K_5g,PD/DD_5g,Yorumlar_5g,PUANLAMA_V4_5g,TP Oran (%)_5g,Sinyal_Sort_5g,VolumeDeltaUp_Sort_5g,Formasyon_Sort_5g,FormasyonTazeKirilim_5g,BONUS_SCORE_5g,DipSkor_5g,ATHSkor_5g,OBVSkor_5g,TazeSkor_5g,FinalSkorEx_5g,__FDTT_NET_TL_5g,__FDTT_ADV7_TL_5g,KURUM_FDTT_SINYAL_5g,__AKD_1D_NET_TL_NORM_ND_5g,__AKD_3D_NET_TL_NORM_ND_5g,KURUM_AKD_SINYAL_5g,__AKD_PUAN_5g,__FDTT_PUAN_5g,__KURUM_PUAN_5g,AL_VETO_SHOCK_5g,__TURNOVER_1D_5g,__TURNOVER_3D_5g,__FF_MCAP_5g,AKD_NOTE_5g,KURUM_AKD_SKOR_5g,FinalSkorPlus_5g,__FDTT_NET_PP_5g,__FDTT_NET_TL_NORM_5g,__AKD_RECENCY_COMBO_5g,Analiz_Tarihi_str,Alis_Fiyati_AnalizGunu_5g,Max_Getiri_%_5g,Getiri_1Hafta_Sonu_%_5g,Zirve_Kayip_%_5g,Fiyat_EnYuksek_5Gun_5g,Fiyat_EnDusuk_5Gun_5g,Max_Getiri_5Gun_%_5g,Gun_EnYuksek_5g,Gun_EnDusuk_5g,Max_Getiri_15Gun_%_5g,Getiri_15Gun_Sonu_%_5g,Zirve_Kayip_15Gun_%_5g,Fiyat_EnYuksek_15Gun_5g,Fiyat_EnDusuk_15Gun_5g,SMA5_137_15m_Sinyal_5g,SMA5_137_15m_Sinyal_Numeric_5g,SMA5_137_15m_Sinyal_Filt_5g,SMA5_137_15m_Sinyal_Filt_Numeric_5g,SMA5_137_15m_CrossTime_5g,SMA5_137_15m_BarsSinceCross_5g,SMA5_137_1h_Sinyal_5g,SMA5_137_1h_Sinyal_Numeric_5g,SMA5_137_1h_Sinyal_Filt_5g,SMA5_137_1h_Sinyal_Filt_Numeric_5g,SMA5_137_1h_CrossTime_5g,SMA5_137_1h_BarsSinceCross_5g,SMA5_137_4h_Sinyal_5g,SMA5_137_4h_Sinyal_Numeric_5g,SMA5_137_4h_Sinyal_Filt_5g,SMA5_137_4h_Sinyal_Filt_Numeric_5g,SMA5_137_4h_CrossTime_5g,SMA5_137_4h_BarsSinceCross_5g,SMA5_137_1d_Sinyal_5g,SMA5_137_1d_Sinyal_Numeric_5g,SMA5_137_1d_Sinyal_Filt_5g,SMA5_137_1d_Sinyal_Filt_Numeric_5g,SMA5_137_1d_CrossTime_5g,SMA5_137_1d_BarsSinceCross_5g,EW_WaveType_1d_5g,EW_CurrentWave_1d_5g,EW_Phase_1d_5g,EW_LastPivotTime_1d_5g,EW_LastPivotPrice_1d_5g,EW_WaveType_4h_5g,EW_CurrentWave_4h_5g,EW_Phase_4h_5g,EW_LastPivotTime_4h_5g,EW_LastPivotPrice_4h_5g,EW_Direction_1d_5g,EW_AsOf_1d_5g,EW_Direction_4h_5g,EW_AsOf_4h_5g,Top_Grup_5g,Top_Grup_15Gun_5g,Beklenen_5g,Risk_5g,Kural_5g,Tarih_15g,Sinyal_15g,Skor (Al)_15g,Skor (Sat)_15g,Elmas Formasyonu_15g,AlphaTrend_15g,MA_15g,MACD_15g,MACD_Signal_15g,MACD_Positive_15g,RSI_15g,ADX_15g,OBV_Diff_15g,BB_Low_15g,BB_Mavg_15g,BB_High_15g,BB_W_15g,EMA20_gt_EMA50_gt_EMA200_15g,Dipten Uzaklık (%)_15g,ATH'ye Uzaklık (%)_15g,ATH Breakout_15g,ATH Dip Potansiyeli_15g,Cup&Handle Formasyonu_15g,Bull Flag Formasyonu_15g,TOBO Formasyonu_15g,Gelişmiş TOBO_15g,EMA5_137 Sinyal_15g,EMA5_137 Sinyal_Numeric_15g,EMA3_199 Sinyal_15g,EMA3_199 Sinyal_Numeric_15g,EMA3_200 Sinyal_15g,EMA3_200 Sinyal_Numeric_15g,CandleGoldenCross_Over_15g,Confirmed_BUY_15g,Confirmed_SELL_15g,CandleGoldenCross_Over_Confirmed_BUY_15g,Confirmed_SELL_CandleCrossUnder_15g,STOP Fiyat_15g,TP Fiyat_15g,Haftalık Değişim (%)_15g,Aylık Değişim (%)_15g,Ortalama Hacim (TL)_15g,F/K_15g,PD/DD_15g,Yorumlar_15g,PUANLAMA_V4_15g,TP Oran (%)_15g,Sinyal_Sort_15g,VolumeDeltaUp_Sort_15g,Formasyon_Sort_15g,FormasyonTazeKirilim_15g,BONUS_SCORE_15g,DipSkor_15g,ATHSkor_15g,OBVSkor_15g,TazeSkor_15g,FinalSkorEx_15g,__FDTT_NET_TL_15g,__FDTT_ADV7_TL_15g,KURUM_FDTT_SINYAL_15g,__AKD_1D_NET_TL_NORM_ND_15g,__AKD_3D_NET_TL_NORM_ND_15g,KURUM_AKD_SINYAL_15g,__AKD_PUAN_15g,__FDTT_PUAN_15g,__KURUM_PUAN_15g,AL_VETO_SHOCK_15g,__TURNOVER_1D_15g,__TURNOVER_3D_15g,__FF_MCAP_15g,AKD_NOTE_15g,KURUM_AKD_SKOR_15g,FinalSkorPlus_15g,__FDTT_NET_PP_15g,__FDTT_NET_TL_NORM_15g,__AKD_RECENCY_COMBO_15g,Alis_Fiyati_AnalizGunu_15g,Max_Getiri_%_15g,Getiri_1Hafta_Sonu_%_15g,Zirve_Kayip_%_15g,Fiyat_EnYuksek_5Gun_15g,Fiyat_EnDusuk_5Gun_15g,Max_Getiri_5Gun_%_15g,Gun_EnYuksek_15g,Gun_EnDusuk_15g,Max_Getiri_15Gun_%_15g,Getiri_15Gun_Sonu_%_15g,Zirve_Kayip_15Gun_%_15g,Fiyat_EnYuksek_15Gun_15g,Fiyat_EnDusuk_15Gun_15g,SMA5_137_15m_Sinyal_15g,SMA5_137_15m_Sinyal_Numeric_15g,SMA5_137_15m_Sinyal_Filt_15g,SMA5_137_15m_Sinyal_Filt_Numeric_15g,SMA5_137_15m_CrossTime_15g,SMA5_137_15m_BarsSinceCross_15g,SMA5_137_1h_Sinyal_15g,SMA5_137_1h_Sinyal_Numeric_15g,SMA5_137_1h_Sinyal_Filt_15g,SMA5_137_1h_Sinyal_Filt_Numeric_15g,SMA5_137_1h_CrossTime_15g,SMA5_137_1h_BarsSinceCross_15g,SMA5_137_4h_Sinyal_15g,SMA5_137_4h_Sinyal_Numeric_15g,SMA5_137_4h_Sinyal_Filt_15g,SMA5_137_4h_Sinyal_Filt_Numeric_15g,SMA5_137_4h_CrossTime_15g,SMA5_137_4h_BarsSinceCross_15g,SMA5_137_1d_Sinyal_15g,SMA5_137_1d_Sinyal_Numeric_15g,SMA5_137_1d_Sinyal_Filt_15g,SMA5_137_1d_Sinyal_Filt_Numeric_15g,SMA5_137_1d_CrossTime_15g,SMA5_137_1d_BarsSinceCross_15g,EW_WaveType_1d_15g,EW_CurrentWave_1d_15g,EW_Phase_1d_15g,EW_LastPivotTime_1d_15g,EW_LastPivotPrice_1d_15g,EW_WaveType_4h_15g,EW_CurrentWave_4h_15g,EW_Phase_4h_15g,EW_LastPivotTime_4h_15g,EW_LastPivotPrice_4h_15g,EW_Direction_1d_15g,EW_AsOf_1d_15g,EW_Direction_4h_15g,EW_AsOf_4h_15g,Top_Grup_15g,Top_Grup_15Gun_15g,Beklenen_15g,Risk_15g,Kural_15g,Secim_Skoru
ARENA,2025-10-21,29.26,-50,0,4,0,30.4,30.22,-1.04,-1.01,0,39.12,22.84,690482.0,27.98,30.28,32.58,15.19,0,16.95,44.58,0,100,1,0,0,0,,,,,,,0,0,0,0,0,27.5,31.02,0.83,-13.59,31780051,0.0,1.03,"ATR Oranı düşük (4.0%) | Gelişmiş Cup & Handle | ATR STOP: 27.5, TP: 31.02 | 1H:%0.83 | 1A:%-13.59",4,6.02,0,0,1,0,0,-16.95,-44.58,690482.0,0,-5.12,,,,,,,,,,,,,,,,,,,,2025-10-21,29.26,5.946684894053309,4.169514695830482,1.6774193548387082,31.0,29.3,5.946684894053309,4,1,5.946684894053309,-10.594668489405336,15.612903225806452,31.0,26.16,-,0.0,AL,50.0,2025-10-20 10:00,52.0,-,0.0,SAT,-50.0,2025-09-25 10:30,166.0,-,0.0,SAT,-50.0,2025-08-29 04:00,113.0,-,0.0,SAT,-50.0,2025-08-11 00:00,51.0,ImpulseDown,5,Düşüş Başlangıcı,2025-09-16 00:00,35.2,ImpulseDown,3,Başlangıç,2025-10-16 04:00,29.4,down,2025-10-21 00:00,down,2025-10-21 12:00,0,0,11.03128301824211,8.224164660517097,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03128301824211
ARSAN,2025-10-21,2.81,100,3,0,0,2.81,2.78,-0.03,-0.03,0,51.35,19.58,26383409.0,2.57,2.81,3.05,16.92,1,32.63,12.19,0,0,0,0,0,0,,,,,,,0,0,0,0,0,2.63,2.99,4.07,-6.33,49899291,0.0,0.55,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (4.34%) | ATR STOP: 2.63, TP: 2.99 | 1H:%4.07 | 1A:%-6.33",2,6.41,1,0,0,0,0,-32.63,-12.19,26383409.0,0,-19.67,,,,,,,,,,,,,,,,,,,,2025-10-21,2.81,10.676156583629886,10.676156583629886,0.0,3.11,2.78,10.676156583629886,5,1,10.676156583629886,0.7117437722419936,9.003215434083597,3.11,2.78,-,0.0,AL,50.0,2025-10-20 10:30,50.0,-,0.0,AL,50.0,2025-10-21 06:30,8.0,-,0.0,SAT,-50.0,2025-10-06 12:00,33.0,-,0.0,AL,50.0,2025-07-17 00:00,68.0,ImpulseDown,2,Yükseliş Başlangıcı,2025-06-23 00:00,2.14,ImpulseDown,4,Başlangıç,2025-10-17 08:00,2.56,down,2025-10-21 00:00,down,2025-10-21 12:00,0,0,11.03128301824211,8.224164660517097,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03128301824211
ASUZU,2025-10-21,53.65,-50,0,4,0,55.85,55.88,-1.96,-1.74,0,34.87,26.65,437662.0,51.33,56.26,61.2,17.54,0,5.2,21.57,0,100,1,0,0,0,,,,,,,0,0,1,0,0,50.79,56.51,1.04,-12.91,48589951,77.753624,1.1,"ATR Oranı düşük (3.55%) | Gelişmiş Cup & Handle | ATR STOP: 50.79, TP: 56.51 | 1H:%1.04 | 1A:%-12.91 | Confirmed SELL (alphaTrend teyidi)",4,5.33,0,0,1,0,0,-5.2,-21.57,437662.0,0,11.05,,,,,,,,,,,,,,,,,,,,2025-10-21,53.65,9.133271202236717,9.133271202236717,0.0,58.55,53.9,9.133271202236717,5,1,10.251630941286113,-0.0931966449207775,9.382924767540148,59.15,53.3,-,0.0,AL,50.0,2025-10-20 13:30,38.0,-,0.0,SAT,-50.0,2025-09-24 10:30,175.0,-,0.0,SAT,-50.0,2025-09-08 04:00,95.0,-,0.0,SAT,-50.0,2025-10-01 00:00,14.0,ImpulseDown,5,Düşüş Başlangıcı,2025-09-22 00:00,62.8,ImpulseDown,5,Başlangıç,2025-10-21 04:00,54.55,down,2025-10-21 00:00,down,2025-10-21 12:00,0,0,11.03128301824211,8.224164660517097,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03128301824211
BARMA,2025-10-21,18.96,-50,0,4,0,20.13,19.82,-0.51,-0.33,0,41.44,19.32,2234246.0,17.99,20.12,22.25,21.15,0,20.0,15.88,0,0,1,0,0,0,,,,,,,0,0,0,0,0,17.48,20.44,-0.68,-14.52,42237733,22.843372,1.29,"ATR Oranı düşük (5.21%) | Gelişmiş Cup & Handle | ATR STOP: 17.48, TP: 20.44 | 1H:%-0.68 | 1A:%-14.52",2,7.81,0,0,1,0,0,-20.0,-15.88,2234246.0,0,-9.59,,,,,,,,,,,,,,,,,,,,2025-10-21,18.96,9.282700421940918,6.645569620253154,2.413127413127413,20.72,19.37,9.282700421940918,4,1,53.58649789029536,45.1476793248945,5.494505494505499,29.12,19.37,-,0.0,SAT,-50.0,2025-10-21 10:15,18.0,-,0.0,SAT,-50.0,2025-10-03 10:30,112.0,-,0.0,SAT,-50.0,2025-10-09 12:00,24.0,-,0.0,AL,50.0,2025-07-09 00:00,73.0,ImpulseUp,5,Yükseliş Başlangıcı,2025-10-14 00:00,18.3,ImpulseDown,3,Orta,2025-10-16 04:00,19.4,up,2025-10-21 00:00,down,2025-10-21 12:00,0,1,11.03128301824211,8.224164660517097,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03128301824211
YIGIT,2025-10-21,24.3,-50,0,4,0,25.25,25.55,-0.85,-0.66,0,35.61,19.87,1990579.0,23.28,25.88,28.48,20.08,0,12.71,37.05,0,100,1,0,0,0,,,,,,,0,0,0,0,0,22.92,25.68,-1.38,-16.72,60347377,48.6,1.2,"ATR Oranı düşük (3.8%) | Gelişmiş Cup & Handle | ATR STOP: 22.92, TP: 25.68 | 1H:%-1.38 | 1A:%-16.72",3,5.68,0,0,1,0,0,-12.71,-37.05,1990579.0,0,-2.65,,,,,,,,,,,,,,,,,,,,2025-10-21,24.3,10.2880658436214,9.46502057613169,0.7462686567164152,26.8,24.14,10.2880658436214,4,1,10.2880658436214,-1.2345679012345707,10.447761194029852,26.8,23.94,-,0.0,AL,50.0,2025-10-21 12:00,11.0,-,0.0,SAT,-50.0,2025-09-29 11:30,147.0,-,0.0,SAT,-50.0,2025-09-29 12:00,48.0,-,0.0,SAT,-50.0,2025-10-13 00:00,6.0,ImpulseDown,2,Başlangıç,2025-08-15 00:00,26.16,ImpulseDown,3,Düşüş Başlangıcı,2025-10-16 04:00,24.92,down,2025-10-21 00:00,down,2025-10-21 12:00,0,0,11.03128301824211,8.224164660517097,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03128301824211
YUNSA,2025-10-21,7.29,-50,0,4,0,7.46,7.41,-0.09,-0.08,0,47.12,20.44,8439444.0,6.73,7.36,7.99,17.03,1,52.19,19.89,0,0,0,0,0,0,,,,,,,0,0,0,0,0,6.67,7.91,-3.44,-10.66,71695281,2.9877048,0.85,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (5.64%) | ATR STOP: 6.67, TP: 7.91 | 1H:%-3.44 | 1A:%-10.66",1,8.5,0,0,0,0,0,-52.19,-19.89,8439444.0,0,-45.32,,,,,,,,,,,,,,,,,,,,2025-10-21,7.29,10.562414266117976,10.562414266117976,0.0,8.06,7.25,10.562414266117976,5,1,27.57201646090536,15.637860082304522,9.354838709677429,9.3,7.25,-,0.0,AL,50.0,2025-10-21 09:30,21.0,-,0.0,SAT,-50.0,2025-10-16 10:30,31.0,-,0.0,SAT,-50.0,2025-10-16 04:00,11.0,-,0.0,AL,50.0,2025-07-25 00:00,62.0,ImpulseUp,3,Yükseliş Başlangıcı,2025-10-07 00:00,6.91,ImpulseDown,2,Yükseliş Başlangıcı,2025-10-07 04:00,6.91,up,2025-10-21 00:00,down,2025-10-21 12:00,0,1,11.03128301824211,8.224164660517097,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03128301824211
YYLGD,2025-10-21,9.7,-50,0,4,0,9.91,10.08,-0.3,-0.25,0,37.25,30.64,2907562.0,9.32,10.17,11.02,16.7,0,14.79,17.94,0,0,0,0,0,0,,,,,,,0,0,0,0,0,9.25,10.15,-0.82,-14.31,54352535,9.60396,0.93,"ATR Oranı düşük (3.11%) | ATR STOP: 9.25, TP: 10.15 | 1H:%-0.82 | 1A:%-14.31",2,4.64,0,0,0,0,0,-14.79,-17.94,2907562.0,0,-4.48,,,,,,,,,,,,,,,,,,,,2025-10-21,9.7,18.35051546391754,18.35051546391754,0.0,11.48,9.93,18.35051546391754,5,1,18.35051546391754,3.814432989690733,12.282229965156796,11.48,9.93,-,0.0,AL,50.0,2025-10-20 14:00,36.0,-,0.0,SAT,-50.0,2025-09-26 11:30,156.0,-,0.0,SAT,-50.0,2025-09-26 04:00,53.0,-,0.0,SAT,-50.0,2025-10-13 00:00,6.0,ImpulseDown,2,Başlangıç,2025-07-16 00:00,9.76,ImpulseDown,5,Başlangıç,2025-10-21 04:00,9.8,down,2025-10-21 00:00,down,2025-10-21 12:00,1,0,11.03128301824211,8.224164660517097,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03128301824211
ZEDUR,2025-10-21,8.03,-50,0,4,0,8.33,8.46,-0.26,-0.21,0,35.97,20.94,-1121230.0,7.71,8.58,9.44,20.08,0,22.6,26.26,0,100,1,0,1,0,,,,,,,0,0,0,0,0,7.59,8.47,-1.95,-12.62,19550838,18.25,0.68,"ATR Oranı düşük (3.62%) | Gelişmiş TOBO formasyonu | Gelişmiş Cup & Handle | ATR STOP: 7.59, TP: 8.47 | 1H:%-1.95 | 1A:%-12.62",3,5.48,0,0,1,0,0,-22.6,-26.26,-1121230.0,0,-12.88,,,,,,,,,,,,,,,,,,,,2025-10-21,8.03,13.075965130759664,13.075965130759664,0.0,9.08,8.03,13.075965130759664,5,1,13.075965130759664,1.7434620174346276,10.022026431718064,9.08,8.03,-,0.0,AL,50.0,2025-10-20 10:00,52.0,-,0.0,SAT,-50.0,2025-09-29 11:30,147.0,-,0.0,SAT,-50.0,2025-09-29 08:00,49.0,-,0.0,SAT,-50.0,2025-10-16 00:00,3.0,ImpulseDown,2,Orta,2025-06-13 00:00,6.8,ImpulseDown,3,Düşüş Başlangıcı,2025-10-16 08:00,8.22,down,2025-10-21 00:00,down,2025-10-21 12:00,1,0,11.03128301824211,8.224164660517097,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03128301824211
ZOREN,2025-10-21,3.24,-100,0,3,0,3.38,3.41,-0.09,-0.09,1,40.37,14.12,-56323516.0,3.11,3.44,3.77,19.34,0,14.89,30.02,0,100,1,1,0,0,,,,,,,0,0,0,0,0,3.04,3.44,-0.61,-13.37,264653260,0.0,0.26,"ATR Oranı düşük (4.21%) | Gelişmiş Cup & Handle | Gelişmiş Bull Flag | ATR STOP: 3.04, TP: 3.44 | 1H:%-0.61 | 1A:%-13.37",3,6.17,0,0,1,0,0,-14.89,-30.02,-56323516.0,0,-8.74,,,,,,,,,,,,,,,,,,,,2025-10-21,3.24,12.037037037037027,12.037037037037027,0.0,3.63,3.26,12.037037037037027,5,3,12.037037037037027,0.9259259259259198,9.917355371900824,3.63,3.22,-,0.0,SAT,-50.0,2025-10-21 07:15,30.0,-,0.0,SAT,-50.0,2025-09-29 14:30,144.0,-,0.0,SAT,-50.0,2025-09-30 04:00,47.0,-,0.0,SAT,-50.0,2025-10-10 00:00,7.0,ImpulseDown,5,Düşüş Başlangıcı,2025-10-17 00:00,3.6,ImpulseDown,4,Orta,2025-10-14 12:00,3.16,down,2025-10-21 00:00,down,2025-10-21 12:00,0,0,11.03128301824211,8.224164660517097,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03128301824211
ZRGYO,2025-10-21,22.1,-50,0,4,0,23.04,22.68,-0.25,-0.17,0,43.05,13.67,-621830.0,21.81,22.72,23.62,7.97,0,116.82,18.59,0,0,0,0,0,0,,,,,,,0,0,0,0,0,20.9,23.3,-4.08,-4.49,28915854,21.88119,1.57,"ATR Oranı düşük (3.62%) | ATR STOP: 20.9, TP: 23.3 | 1H:%-4.08 | 1A:%-4.49",0,5.43,0,0,0,0,0,-116.82,-18.59,-621830.0,0,-117.04,,,,,,,,,,,,,,,,,,,,2025-10-21,22.1,5.701357466063339,4.343891402714919,1.2842465753424688,23.36,22.3,5.701357466063339,2,1,5.701357466063339,1.0859728506787258,4.366438356164382,23.36,22.1,-,0.0,SAT,-50.0,2025-10-21 09:15,22.0,-,0.0,SAT,-50.0,2025-10-16 12:30,29.0,-,0.0,SAT,-50.0,2025-10-13 08:00,19.0,-,0.0,SAT,-50.0,2025-09-23 00:00,20.0,ImpulseDown,2,Başlangıç,2025-09-02 00:00,22.28,ImpulseDown,3,Düşüş Başlangıcı,2025-10-16 04:00,23.1,down,2025-10-21 00:00,down,2025-10-21 12:00,0,0,11.03128301824211,8.224164660517097,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03128301824211
