Sembol,Tarih,Fiyat (Son),Sinyal,Skor (Al),Skor (Sat),Elmas Formasyonu,AlphaTrend,MA,MACD,MACD_Signal,MACD_Positive,RSI,ADX,OBV_Diff,BB_Low,BB_Mavg,BB_High,BB_W,EMA20_gt_EMA50_gt_EMA200,Dipten Uzaklık (%),ATH'ye Uzaklık (%),ATH Breakout,ATH Dip Potansiyeli,Cup&Handle Formasyonu,Bull Flag Formasyonu,TOBO Formasyonu,Gelişmiş TOBO,EW_WaveType_1d,EW_CurrentWave_1d,EW_Phase_1d,EW_LastPivotTime_1d,EW_LastPivotPrice_1d,EW_WaveType_4h,EW_CurrentWave_4h,EW_Phase_4h,EW_LastPivotTime_4h,EW_LastPivotPrice_4h,EW_Direction_1d,EW_AsOf_1d,EW_Direction_4h,EW_AsOf_4h,EMA5_137 Sinyal,EMA5_137 Sinyal_Numeric,EMA3_199 Sinyal,EMA3_199 Sinyal_Numeric,EMA3_200 Sinyal,EMA3_200 Sinyal_Numeric,SMA5_137_15m_Sinyal,SMA5_137_15m_Sinyal_Numeric,SMA5_137_15m_Sinyal_Filt,SMA5_137_15m_Sinyal_Filt_Numeric,SMA5_137_15m_CrossTime,SMA5_137_15m_BarsSinceCross,SMA5_137_1h_Sinyal,SMA5_137_1h_Sinyal_Numeric,SMA5_137_1h_Sinyal_Filt,SMA5_137_1h_Sinyal_Filt_Numeric,SMA5_137_1h_CrossTime,SMA5_137_1h_BarsSinceCross,SMA5_137_4h_Sinyal,SMA5_137_4h_Sinyal_Numeric,SMA5_137_4h_Sinyal_Filt,SMA5_137_4h_Sinyal_Filt_Numeric,SMA5_137_4h_CrossTime,SMA5_137_4h_BarsSinceCross,SMA5_137_1d_Sinyal,SMA5_137_1d_Sinyal_Numeric,SMA5_137_1d_Sinyal_Filt,SMA5_137_1d_Sinyal_Filt_Numeric,SMA5_137_1d_CrossTime,SMA5_137_1d_BarsSinceCross,CandleGoldenCross_Over,Confirmed_BUY,Confirmed_SELL,CandleGoldenCross_Over_Confirmed_BUY,Confirmed_SELL_CandleCrossUnder,STOP Fiyat,TP Fiyat,Haftalık Değişim (%),Aylık Değişim (%),Ortalama Hacim (TL),F/K,PD/DD,Yorumlar,PUANLAMA_V4,TP Oran (%),Sinyal_Sort,VolumeDeltaUp_Sort,Formasyon_Sort,FormasyonTazeKirilim,BONUS_SCORE,DipSkor,ATHSkor,OBVSkor,TazeSkor,FinalSkorEx,__FDTT_NET_TL,__FDTT_ADV7_TL,KURUM_FDTT_SINYAL,__AKD_1D_NET_TL_NORM_ND,__AKD_3D_NET_TL_NORM_ND,KURUM_AKD_SINYAL,__AKD_PUAN,__FDTT_PUAN,__KURUM_PUAN,AL_VETO_SHOCK,__TURNOVER_1D,__TURNOVER_3D,__FF_MCAP,AKD_NOTE,GUNLUK_FARK,__FDTT_NET_PP,__FDTT_NET_TL_NORM,__AKD_RECENCY_COMBO,KURUM_AKD_SKOR,FinalSkorPlus
PETUN,2025-12-16,11.43,100,3,0,0,11.24,11.33,-0.13,-0.27,1,50.11,15.55,2061315.00,10.57,11.11,11.65,9.73,0,43.95,17.29,0,0,0,0,0,0,ImpulseDown,4,Orta,2025-11-25 00:00,10.60,ImpulseUp,3,Orta,2025-12-11 12:00,11.28,down,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-16 11:45,12,-,0,AL,50,2025-12-08 12:30,56,-,0,SAT,-50,2025-11-05 04:00,89,-,0,SAT,-50,2025-11-25 00:00,15,0,0,0,0,0,10.89,11.97,1.33,-1.47,20906992,21.56604,0.41,"ATR Oranı düşük (3.15%) | ATR STOP: 10.89, TP: 11.97 | 1H:%1.33 | 1A:%-1.47",2,4.72,1,0,0,0,0,-43.95,-17.29,2061315.00,0,-33.22,96904042.93,33907501.43,True,0.04,0.01,False,0.00,3.00,1.00,False,0.02,0.05,1147165377.75,AKD nötr/negatif,0.44,8.45,2.86,0.03,18.00,-15.22
PGSUS,2025-12-16,207.60,100,3,0,0,203.10,204.21,-0.70,-1.97,1,55.31,10.48,17885257.00,197.74,203.59,209.44,5.75,0,6.03,26.58,0,100,0,0,0,0,ImpulseDown,3,Orta,2025-11-07 00:00,215.90,ImpulseUp,2,Düşüş Başlangıcı,2025-12-03 04:00,207.7,down,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-12 07:00,97,-,0,AL,50,2025-12-12 08:30,24,-,0,AL,50,2025-12-16 08:00,1,-,0,SAT,-50,2025-09-02 00:00,75,0,0,0,0,0,201.17,214.03,2.37,1.76,3760821642,4.0523133,0.92,"ATR Oranı düşük (2.07%) | ATR STOP: 201.17, TP: 214.03 | 1H:%2.37 | 1A:%1.76",3,3.10,1,0,0,0,0,-6.03,-26.58,17885257.00,0,8.10,-25817293434.57,4916021116.43,False,-0.01,0.01,False,0.00,-3.00,-1.00,False,0.08,0.22,48060172064.40,AKD nötr/negatif,0.29,-53.72,-5.25,-0.01,-7.00,1.10
PINSU,2025-12-16,13.05,0,0,0,1,13.09,13.07,0.00,0.00,1,49.84,25.76,-3085072.00,11.99,13.04,14.09,16.10,1,146.23,11.59,0,0,1,0,0,0,ImpulseUp,5,Orta,2025-11-14 00:00,12.10,ImpulseUp,4,Orta,2025-12-12 04:00,13.67,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-16 08:15,26,-,0,SAT,-50,2025-12-16 09:30,5,-,0,SAT,-50,2025-12-15 12:00,3,-,0,-,0,,,0,0,0,0,0,12.16,13.94,1.40,2.11,106730427,0,1.57,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (4.57%) | Gelişmiş Cup & Handle | Gelişmiş Elmas | ATR STOP: 12.16, TP: 13.94 | 1H:%1.4 | 1A:%2.11",4,6.82,0,0,1,0,0,-146.23,-11.59,-3085072.00,0,-130.21,253506453.10,91611821.71,True,-0.02,0.01,False,0.00,3.00,1.00,False,0.03,0.16,1199106323.10,AKD nötr/negatif,-1.44,21.14,2.77,-0.01,22.00,-108.21
PKART,2025-12-16,71.40,0,0,0,0,72.23,72.04,-1.21,-1.64,1,43.00,11.35,71650.00,69.20,71.37,73.54,6.09,0,28.88,24.32,0,100,0,0,0,0,ImpulseDown,5,Orta,2025-12-12 00:00,73.05,ImpulseUp,5,Yükseliş Başlangıcı,2025-12-16 08:00,70.9,down,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-15 10:15,51,-,0,AL,50,2025-12-10 07:30,43,-,0,SAT,-50,2025-10-13 12:00,134,-,0,SAT,-50,2025-11-14 00:00,22,0,0,0,0,0,68.63,74.17,-0.49,-3.12,6585221,0,3.74,"ATR Oranı düşük (2.59%) | ATR STOP: 68.63, TP: 74.17 | 1H:%-0.49 | 1A:%-3.12",2,3.88,0,0,0,0,0,-28.88,-24.32,71650.00,0,-20.52,184320970.92,8144625.14,True,0.03,0.01,False,0.00,3.00,1.00,False,0.01,0.07,548926912.80,AKD nötr/negatif,0.42,33.58,22.63,0.03,15.00,-5.52
PLTUR,2025-12-16,21.12,0,0,0,0,21.19,21.56,-0.46,-0.69,1,43.51,20.68,-1249156.00,19.75,21.13,22.51,13.09,0,5.39,36.06,0,100,0,0,0,0,ImpulseDown,5,Orta,2025-12-09 00:00,22.82,ImpulseUp,4,Başlangıç,2025-12-09 12:00,22.82,down,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-11 13:15,105,-,0,AL,50,2025-12-09 06:30,53,-,0,SAT,-50,2025-11-11 08:00,76,-,0,SAT,-50,2025-11-12 00:00,24,0,0,0,0,0,19.93,22.31,-3.21,-4.95,52142642,17.170732,0.65,"ATR Oranı düşük (3.75%) | ATR STOP: 19.93, TP: 22.31 | 1H:%-3.21 | 1A:%-4.95",1,5.63,0,0,0,0,0,-5.39,-36.06,-1249156.00,0,-5.14,-191004787.80,48011636.14,False,-0.03,-0.01,False,0.00,-3.00,-1.00,False,0.03,0.12,1045027146.24,AKD nötr/negatif,-1.12,-18.28,-3.98,-0.02,-14.00,-19.14
PNLSN,2025-12-16,39.30,0,0,0,0,40.04,39.37,-0.15,-0.25,1,48.62,17.05,-598695.00,38.26,39.21,40.16,4.85,0,30.78,28.11,0,100,1,0,0,0,ImpulseDown,3,Orta,2025-11-03 00:00,43.86,ImpulseUp,4,Başlangıç,2025-12-15 12:00,41.44,down,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-16 09:45,20,-,0,AL,50,2025-12-15 06:30,17,-,0,AL,50,2025-12-15 08:00,4,-,0,SAT,-50,2025-12-08 00:00,6,0,0,0,0,0,37.71,40.89,0.82,-3.25,14930013,41.80851,1.08,"ATR Oranı düşük (2.71%) | Gelişmiş Cup & Handle | ATR STOP: 37.71, TP: 40.89 | 1H:%0.82 | 1A:%-3.25 | Volume Delta pozitif",3,4.05,0,1,1,0,0,-30.78,-28.11,-598695.00,0,-20.08,-55948519.55,25543791.57,False,-0.08,-0.04,False,-2.00,-3.00,-2.00,False,0.03,0.17,824950072.80,AKD nötr/negatif,-1.55,-6.78,-2.19,-0.07,-25.00,-45.08
PNSUT,2025-12-16,11.57,0,0,0,0,11.46,11.46,-0.05,-0.20,1,50.70,26.44,-914188.00,10.44,11.21,11.97,13.69,0,47.95,22.87,0,100,0,0,0,0,ImpulseDown,5,Orta,2025-12-09 00:00,12.31,ImpulseUp,3,Orta,2025-12-11 08:00,11.28,down,2025-12-16 00:00,up,2025-12-16 12:00,SAT,-50,-,0,-,0,-,0,SAT,-50,2025-12-15 11:00,48,-,0,AL,50,2025-12-04 12:30,74,-,0,SAT,-50,2025-10-20 08:00,120,-,0,AL,50,2025-12-12 00:00,2,0,0,0,0,0,10.80,12.34,-2.53,2.75,20100945,0,0.34,"ATR Oranı düşük (4.45%) | ATR STOP: 10.8, TP: 12.34 | 1H:%-2.53 | 1A:%2.75",2,6.66,0,0,0,0,0,-47.95,-22.87,-914188.00,0,-40.71,46961553.17,37098674.29,True,-0.00,-0.03,False,0.00,3.00,1.00,False,0.01,0.02,1378471366.48,AKD nötr/negatif,-1.03,3.41,1.27,-0.01,16.00,-24.71
POLHO,2025-12-16,17.89,50,4,0,0,17.15,17.59,0.33,0.27,1,53.87,16.44,-1705223.00,14.86,17.13,19.39,26.45,1,731.30,22.69,0,100,1,0,0,0,ImpulseDown,3,Orta,2025-11-04 00:00,19.65,ImpulseDown,2,Orta,2025-12-04 08:00,16.59,down,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-15 14:15,35,-,0,AL,50,2025-12-01 10:30,103,-,0,AL,50,2025-12-05 08:00,22,-,0,-,0,,,0,0,0,0,0,16.62,19.16,0.06,4.99,103949303,0,4.86,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (4.75%) | Gelişmiş Cup & Handle | ATR STOP: 16.62, TP: 19.16 | 1H:%0.06 | 1A:%4.99",5,7.10,2,0,1,0,0,-731.30,-22.69,-1705223.00,0,-712.73,-9771128780.43,92932394.43,False,0.03,0.03,False,0.00,-3.00,-1.00,False,0.01,0.05,2934915952.15,AKD nötr/negatif,-1.11,-332.93,-105.14,0.03,-6.00,-718.73
PRDGS,2025-12-16,6.20,100,3,0,1,6.26,6.19,-0.04,-0.07,1,49.26,26.32,1933479.00,5.91,6.13,6.34,7.02,0,39.33,20.82,0,100,0,0,0,0,ImpulseDown,2,Başlangıç,2025-10-20 00:00,5.81,ImpulseDown,5,Orta,2025-12-16 04:00,6.23,down,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-16 13:15,6,-,0,AL,50,2025-12-15 07:30,16,-,0,SAT,-50,2025-11-07 12:00,81,-,0,SAT,-50,2025-11-13 00:00,23,0,0,0,0,0,5.87,6.53,1.31,-2.97,16864620,0,0.59,"ATR Oranı düşük (3.57%) | Gelişmiş Elmas | ATR STOP: 5.87, TP: 6.53 | 1H:%1.31 | 1A:%-2.97",5,5.32,1,0,1,0,0,-39.33,-20.82,1933479.00,0,-17.37,115737748.30,15513411.86,True,0.05,0.03,True,2.00,3.00,2.00,False,0.02,0.07,686858016.20,AKD pozitif (1g norm),0.16,16.85,7.46,0.05,38.00,20.63
PRKAB,2025-12-16,31.54,-50,0,4,0,33.69,33.54,-1.10,-1.02,0,36.24,11.61,-597724.00,29.99,33.68,37.38,21.95,0,25.66,27.66,0,100,1,0,1,0,ImpulseDown,4,Yükseliş Başlangıcı,2025-10-21 00:00,30.04,ImpulseDown,3,Düşüş Başlangıcı,2025-12-05 04:00,34.3,down,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-12 08:45,90,-,0,SAT,-50,2025-11-19 11:30,174,-,0,SAT,-50,2025-11-26 08:00,43,-,0,SAT,-50,2025-12-08 00:00,6,0,0,1,0,0,29.26,33.82,-3.61,-21.54,24722884,0,8.04,"ATR Oranı düşük (4.82%) | Gelişmiş TOBO formasyonu | Gelişmiş Cup & Handle | ATR STOP: 29.26, TP: 33.82 | 1H:%-3.61 | 1A:%-21.54 | Confirmed SELL (alphaTrend teyidi)",2,7.23,0,0,1,0,0,-25.66,-27.66,-597724.00,0,-18.85,-9244471.58,20439819.43,False,-0.02,-0.04,False,0.00,-1.00,0.00,False,0.02,0.05,1105861409.52,AKD nötr/negatif,-1.13,-0.84,-0.45,-0.03,0.00,-18.85
