Sembol,Tarih,Fiyat (Son),Sinyal,Skor (Al),Skor (Sat),Elmas Formasyonu,AlphaTrend,MA,MACD,MACD_Signal,MACD_Positive,RSI,ADX,OBV_Diff,BB_Low,BB_Mavg,BB_High,BB_W,EMA20_gt_EMA50_gt_EMA200,Dipten Uzaklık (%),ATH'ye Uzaklık (%),ATH Breakout,ATH Dip Potansiyeli,Cup&Handle Formasyonu,Bull Flag Formasyonu,TOBO Formasyonu,Gelişmiş TOBO,EW_WaveType_1d,EW_CurrentWave_1d,EW_Phase_1d,EW_LastPivotTime_1d,EW_LastPivotPrice_1d,EW_WaveType_4h,EW_CurrentWave_4h,EW_Phase_4h,EW_LastPivotTime_4h,EW_LastPivotPrice_4h,EW_Direction_1d,EW_AsOf_1d,EW_Direction_4h,EW_AsOf_4h,EMA5_137 Sinyal,EMA5_137 Sinyal_Numeric,EMA3_199 Sinyal,EMA3_199 Sinyal_Numeric,EMA3_200 Sinyal,EMA3_200 Sinyal_Numeric,SMA5_137_15m_Sinyal,SMA5_137_15m_Sinyal_Numeric,SMA5_137_15m_Sinyal_Filt,SMA5_137_15m_Sinyal_Filt_Numeric,SMA5_137_15m_CrossTime,SMA5_137_15m_BarsSinceCross,SMA5_137_1h_Sinyal,SMA5_137_1h_Sinyal_Numeric,SMA5_137_1h_Sinyal_Filt,SMA5_137_1h_Sinyal_Filt_Numeric,SMA5_137_1h_CrossTime,SMA5_137_1h_BarsSinceCross,SMA5_137_4h_Sinyal,SMA5_137_4h_Sinyal_Numeric,SMA5_137_4h_Sinyal_Filt,SMA5_137_4h_Sinyal_Filt_Numeric,SMA5_137_4h_CrossTime,SMA5_137_4h_BarsSinceCross,SMA5_137_1d_Sinyal,SMA5_137_1d_Sinyal_Numeric,SMA5_137_1d_Sinyal_Filt,SMA5_137_1d_Sinyal_Filt_Numeric,SMA5_137_1d_CrossTime,SMA5_137_1d_BarsSinceCross,CandleGoldenCross_Over,Confirmed_BUY,Confirmed_SELL,CandleGoldenCross_Over_Confirmed_BUY,Confirmed_SELL_CandleCrossUnder,STOP Fiyat,TP Fiyat,Haftalık Değişim (%),Aylık Değişim (%),Ortalama Hacim (TL),F/K,PD/DD,Yorumlar,PUANLAMA_V4,TP Oran (%),Sinyal_Sort,VolumeDeltaUp_Sort,Formasyon_Sort,FormasyonTazeKirilim,BONUS_SCORE,DipSkor,ATHSkor,OBVSkor,TazeSkor,FinalSkorEx,__FDTT_NET_TL,__FDTT_ADV7_TL,KURUM_FDTT_SINYAL,__AKD_1D_NET_TL_NORM_ND,__AKD_3D_NET_TL_NORM_ND,KURUM_AKD_SINYAL,__AKD_PUAN,__FDTT_PUAN,__KURUM_PUAN,AL_VETO_SHOCK,__TURNOVER_1D,__TURNOVER_3D,__FF_MCAP,AKD_NOTE,GUNLUK_FARK,__FDTT_NET_PP,__FDTT_NET_TL_NORM,__AKD_RECENCY_COMBO,KURUM_AKD_SKOR,FinalSkorPlus
ACSEL,2025-12-16,101.70,0,0,0,0,103.15,103.60,-1.16,-1.55,1,43.11,15.73,-121078.00,98.47,102.26,106.05,7.41,0,5.17,26.14,0,100,1,0,1,0,ImpulseDown,5,Orta,2025-12-08 00:00,108.30,ImpulseDown,2,Başlangıç,2025-12-05 04:00,100.4,down,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-12 10:00,85,-,0,SAT,-50,2025-12-15 13:30,10,-,0,SAT,-50,2025-09-29 04:00,166,-,0,SAT,-50,2025-11-11 00:00,25,0,0,0,0,0,96.11,107.29,-2.68,-3.97,16149894,0,2.02,"ATR Oranı düşük (3.66%) | Gelişmiş TOBO formasyonu | Gelişmiş Cup & Handle | ATR STOP: 96.11, TP: 107.29 | 1H:%-2.68 | 1A:%-3.97",3,5.50,0,0,1,0,0,-5.17,-26.14,-121078.00,0,6.65,184688449.27,20105822.57,True,-0.01,-0.02,False,0.00,3.00,1.00,False,0.02,0.08,525512579.40,AKD nötr/negatif,-0.49,35.14,9.19,-0.01,16.00,22.65
ADEL,2025-12-16,31.36,-50,0,4,0,32.00,31.63,-0.10,0.04,0,48.04,29.64,758780.00,29.25,32.24,35.24,18.59,0,21.52,23.80,0,100,1,0,0,0,ImpulseUp,4,Orta,2025-11-25 00:00,37.98,ImpulseDown,3,Orta,2025-12-10 04:00,31.76,up,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-16 12:45,8,-,0,SAT,-50,2025-12-04 08:30,78,-,0,AL,50,2025-12-11 12:00,9,-,0,SAT,-50,2025-12-09 00:00,5,0,0,0,0,0,29.46,33.26,1.36,4.53,81664920,0,5.67,"ATR Oranı düşük (4.04%) | Gelişmiş Cup & Handle | ATR STOP: 29.46, TP: 33.26 | 1H:%1.36 | 1A:%4.53",5,6.06,0,0,1,0,0,-21.52,-23.80,758780.00,0,-0.66,-221348588.88,30970550.43,False,0.04,0.01,False,0.00,-3.00,-1.00,False,0.01,0.04,2249661908.48,AKD nötr/negatif,0.19,-9.84,-7.15,0.03,-10.00,-10.66
ADGYO,2025-12-16,46.88,100,3,0,0,47.79,46.46,-0.55,-0.76,1,50.47,14.38,1990932.00,44.01,46.38,48.74,10.20,0,75.45,20.88,0,100,1,0,1,0,ImpulseDown,5,Orta,2025-11-26 00:00,51.75,None,-,Orta,,,down,2025-12-16 00:00,,,-,0,-,0,-,0,-,0,AL,50,2025-12-16 08:15,26,-,0,-,0,,,-,0,-,0,,,-,0,-,0,,,0,0,0,0,0,43.58,50.18,4.64,-3.06,38036356,20.561405,1.53,"ATR Oranı düşük (4.7%) | Gelişmiş TOBO formasyonu | Gelişmiş Cup & Handle | ATR STOP: 43.58, TP: 50.18 | 1H:%4.64 | 1A:%-3.06 | Volume Delta pozitif",5,7.04,1,1,1,1,0,-75.45,-20.88,1990932.00,5,-48.48,1286516960.27,28570823.86,True,0.01,0.01,False,0.00,3.00,1.00,False,0.02,0.04,3858766448.48,AKD nötr/negatif,2.36,33.34,45.03,0.01,15.00,-33.48
AFYON,2025-12-16,13.39,0,0,0,0,13.29,13.27,0.12,0.08,1,56.76,12.74,-2306266.00,12.79,13.21,13.63,6.42,0,14.05,17.35,0,0,0,0,1,0,ImpulseUp,3,Başlangıç,2025-11-11 00:00,12.62,ImpulseUp,2,Düşüş Başlangıcı,2025-12-03 12:00,13.35,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,SAT,-50,SAT,-50,-,0,SAT,-50,2025-12-15 10:00,52,-,0,AL,50,2025-12-05 10:30,67,-,0,AL,50,2025-11-27 08:00,40,-,0,AL,50,2025-12-11 00:00,3,0,0,0,0,0,13.06,13.72,-1.25,2.61,36333144,18.859156,0.75,"ATR Oranı düşük (1.66%) | Gelişmiş TOBO formasyonu | ATR STOP: 13.06, TP: 13.72 | 1H:%-1.25 | 1A:%2.61",1,2.46,0,0,1,0,0,-14.05,-17.35,-2306266.00,0,-10.81,1208630505.08,55029397.00,True,0.08,0.00,True,2.00,3.00,2.00,False,0.01,0.04,2623159005.48,AKD pozitif (1g norm),-0.37,46.08,21.96,0.06,51.00,40.19
AGROT,2025-12-16,6.93,-50,0,4,0,7.14,7.12,-0.13,-0.12,0,39.18,11.61,-4469661.00,6.60,7.19,7.79,16.63,0,3.43,46.15,0,100,0,0,1,0,ImpulseUp,3,Yükseliş Başlangıcı,2025-11-28 00:00,6.87,None,-,Orta,,,up,2025-12-16 00:00,,,-,0,-,0,-,0,-,0,SAT,-50,2025-12-08 10:00,217,-,0,-,0,,,-,0,-,0,,,-,0,SAT,-50,2025-11-25 00:00,15,0,0,1,0,0,6.58,7.28,-0.29,-9.06,127185007,0,1.09,"ATR Oranı düşük (3.34%) | Gelişmiş TOBO formasyonu | ATR STOP: 6.58, TP: 7.28 | 1H:%-0.29 | 1A:%-9.06 | Confirmed SELL (alphaTrend teyidi)",1,5.05,0,0,1,0,0,-3.43,-46.15,-4469661.00,0,-6.72,512658069.16,254275106.86,True,-0.00,0.02,False,0.00,3.00,1.00,False,0.01,0.05,2671833294.90,AKD nötr/negatif,-0.14,19.19,2.02,0.00,11.00,4.28
AHGAZ,2025-12-16,23.82,-50,0,4,0,25.35,25.56,-0.78,-0.64,0,32.18,12.80,-2469095.00,23.73,25.78,27.84,15.91,0,41.11,34.56,0,100,1,0,0,0,ImpulseDown,3,Düşüş Başlangıcı,2025-11-11 00:00,29.46,ImpulseDown,3,Düşüş Başlangıcı,2025-12-02 08:00,27.0,down,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-03 09:00,320,-,0,SAT,-50,2025-11-26 14:30,126,-,0,SAT,-50,2025-09-23 12:00,176,-,0,SAT,-50,2025-11-06 00:00,28,0,0,1,0,0,22.44,25.20,-4.26,-11.32,118642153,27.37931,1.38,"ATR Oranı düşük (3.87%) | Gelişmiş Cup & Handle | ATR STOP: 22.44, TP: 25.2 | 1H:%-4.26 | 1A:%-11.32 | Confirmed SELL (alphaTrend teyidi)",1,5.79,0,0,1,0,0,-41.11,-34.56,-2469095.00,0,-41.44,3903072644.42,85845813.00,True,-0.03,0.01,False,0.00,3.00,1.00,False,0.01,0.02,10743580477.32,AKD nötr/negatif,-2.85,36.33,45.47,-0.02,13.00,-28.44
AHSGY,2025-12-16,14.64,50,4,0,0,14.26,14.24,0.20,0.16,1,55.07,23.34,-4053495.00,13.40,14.33,15.27,13.04,1,189.67,7.80,0,0,1,0,0,0,ImpulseDown,2,Yükseliş Başlangıcı,2025-09-25 00:00,10.70,ImpulseUp,2,Düşüş Başlangıcı,2025-12-05 04:00,14.67,down,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-12 14:45,66,-,0,AL,50,2025-12-15 08:30,15,-,0,AL,50,2025-07-16 04:00,325,-,0,AL,50,2025-07-21 00:00,106,0,0,0,0,0,13.10,16.18,4.95,-0.52,49300147,0,1.52,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (7.04%) | Gelişmiş Cup & Handle | ATR STOP: 13.1, TP: 16.18 | 1H:%4.95 | 1A:%-0.52",5,10.52,2,0,1,0,0,-189.67,-7.80,-4053495.00,0,-169.16,6745393247.16,36150078.00,True,-0.09,-0.03,False,-2.00,3.00,0.00,False,0.02,0.06,2708020750.80,AKD nötr/negatif,-4.81,249.09,186.59,-0.07,-10.00,-179.16
AKBNK,2025-12-16,71.30,50,4,0,0,68.20,66.54,2.56,2.10,1,74.43,38.23,71275588.00,59.92,66.04,72.16,18.53,1,47.01,2.94,100,0,0,0,0,0,ImpulseUp,2,Düşüş Başlangıcı,2025-09-22 00:00,68.75,ImpulseUp,3,Başlangıç,2025-12-04 12:00,63.95,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-12 14:00,69,-,0,AL,50,2025-11-19 09:30,176,-,0,AL,50,2025-11-20 04:00,56,-,0,AL,50,2025-11-25 00:00,15,0,1,0,0,0,68.46,74.14,3.86,22.19,8557873960,7.6997843,1.34,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATH Breakout! (uzaklık %2.94) | ATR Oranı düşük (2.65%) | ATR STOP: 68.46, TP: 74.14 | 1H:%3.86 | 1A:%22.19 | Confirmed BUY (alphaTrend teyidi)",8,3.98,2,0,0,0,0,-47.01,-2.94,71275588.00,0,-7.80,39122682897.16,8348615445.86,True,0.05,0.08,False,2.00,3.00,2.00,False,0.03,0.08,198943423955.00,AKD nötr/negatif,0.42,19.67,4.69,0.06,29.00,21.20
AKENR,2025-12-16,12.20,0,0,0,0,11.51,11.37,0.22,0.08,1,61.01,37.64,-35681623.00,10.05,11.54,13.03,25.82,0,37.85,15.16,0,0,0,0,0,0,ImpulseUp,2,Düşüş Başlangıcı,2025-11-05 00:00,12.24,ImpulseDown,4,Başlangıç,2025-12-11 08:00,10.48,up,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-11 13:45,103,-,0,AL,50,2025-12-12 07:30,25,-,0,AL,50,2025-12-12 04:00,8,-,0,AL,50,2025-12-15 00:00,1,0,1,0,0,0,11.11,13.29,15.42,10.41,353253973,0,0.55,"ATR Oranı düşük (5.97%) | ATR STOP: 11.11, TP: 13.29 | 1H:%15.42 | 1A:%10.41 | Confirmed BUY (alphaTrend teyidi)",5,8.93,0,0,0,0,0,-37.85,-15.16,-35681623.00,0,-20.42,-19748680.43,264947220.71,False,0.01,-0.01,False,0.00,0.00,0.00,False,0.19,0.83,2246664123.40,AKD nötr/negatif,-0.81,-0.88,-0.07,0.01,16.00,-4.42
AKFGY,2025-12-16,2.71,0,0,0,0,2.69,2.72,0.02,0.02,1,49.64,10.09,-22944968.00,2.66,2.72,2.78,4.47,1,54.86,11.44,0,0,1,0,0,0,ImpulseUp,2,Orta,2025-09-22 00:00,2.83,ImpulseUp,5,Orta,2025-12-10 08:00,2.7,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-16 08:30,25,-,0,SAT,-50,2025-12-16 12:30,2,-,0,AL,50,2025-11-03 04:00,95,-,0,AL,50,2025-10-30 00:00,33,0,0,0,0,0,2.60,2.82,-1.45,-0.73,71624196,10.037037,0.35,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (2.74%) | Gelişmiş Cup & Handle | ATR STOP: 2.6, TP: 2.82 | 1H:%-1.45 | 1A:%-0.73",1,4.06,0,0,1,0,0,-54.86,-11.44,-22944968.00,0,-52.46,2286107093.11,82538276.86,True,-0.15,-0.02,False,-4.00,3.00,-1.00,True,0.01,0.04,4674751010.83,AKD/Taban veto,-2.17,48.90,27.70,-0.11,-82.00,-134.46
AKFIS,2025-12-16,21.44,0,0,0,0,21.99,21.80,-0.41,-0.51,1,42.12,14.61,-1019778.00,21.04,21.60,22.16,5.19,0,18.58,38.46,0,100,1,0,0,0,ImpulseUp,2,Başlangıç,2025-09-24 00:00,24.26,ImpulseUp,4,Orta,2025-12-12 04:00,21.92,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-16 07:45,28,-,0,SAT,-50,2025-12-16 09:30,5,-,0,SAT,-50,2025-11-12 04:00,74,-,0,SAT,-50,2025-11-14 00:00,22,0,0,0,0,0,20.61,22.27,0.85,-5.80,53300553,7.85348,0.46,"ATR Oranı düşük (2.59%) | Gelişmiş Cup & Handle | ATR STOP: 20.61, TP: 22.27 | 1H:%0.85 | 1A:%-5.8",3,3.87,0,0,1,0,0,-18.58,-38.46,-1019778.00,0,-10.59,1520731761.88,39878262.71,True,-0.01,-0.00,False,0.00,3.00,1.00,False,0.02,0.08,1432905952.00,AKD nötr/negatif,-0.56,106.13,38.13,-0.01,11.00,0.41
AKFYE,2025-12-16,17.40,0,0,0,0,17.37,17.30,0.08,0.02,1,52.92,20.37,-2479666.00,16.74,17.24,17.73,5.72,0,16.70,15.94,0,0,1,0,1,0,ImpulseDown,3,Orta,2025-11-06 00:00,18.39,None,-,Orta,,,down,2025-12-16 00:00,,,-,0,SAT,-50,SAT,-50,-,0,SAT,-50,2025-12-16 08:15,26,-,0,-,0,,,-,0,-,0,,,-,0,AL,50,2025-12-09 00:00,5,0,0,0,0,0,16.90,17.90,0.29,0.64,44693880,0,0.43,"ATR Oranı düşük (1.9%) | Gelişmiş TOBO formasyonu | Gelişmiş Cup & Handle | ATR STOP: 16.9, TP: 17.9 | 1H:%0.29 | 1A:%0.64",3,2.87,0,0,1,0,0,-16.70,-15.94,-2479666.00,0,-5.33,34331437938.97,64407289.00,True,-0.03,0.00,False,0.00,3.00,1.00,False,0.01,0.02,5921146119.60,AKD nötr/negatif,-1.30,579.81,533.04,-0.02,22.00,16.67
AKGRT,2025-12-16,7.30,50,4,0,0,6.87,6.89,0.10,0.03,1,65.69,28.43,27791111.00,6.46,6.83,7.19,10.72,1,32.01,11.84,0,0,1,0,0,0,ImpulseUp,5,Başlangıç,2025-12-05 00:00,6.58,ImpulseUp,3,Başlangıç,2025-12-10 12:00,6.86,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-12 08:00,93,-,0,AL,50,2025-12-08 06:30,62,-,0,AL,50,2025-12-05 12:00,21,-,0,AL,50,2025-10-22 00:00,39,0,1,0,0,0,7.02,7.58,5.49,5.04,76713890,7.0192313,2.31,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (2.55%) | Gelişmiş Cup & Handle | ATR STOP: 7.02, TP: 7.58 | 1H:%5.49 | 1A:%5.04 | Confirmed BUY (alphaTrend teyidi) | Volume Delta pozitif",9,3.84,2,1,1,0,0,-32.01,-11.84,27791111.00,0,9.20,729910188.65,103499092.57,True,0.11,0.03,True,3.00,3.00,3.00,False,0.06,0.14,3294131562.70,AKD pozitif (1g norm),3.84,22.16,7.05,0.08,62.00,71.20
AKSA,2025-12-16,10.12,-100,0,3,0,10.38,10.37,-0.25,-0.28,1,39.04,25.31,-9449055.00,9.95,10.26,10.57,6.05,0,17.40,20.46,0,100,1,0,0,0,ImpulseDown,2,Başlangıç,2025-10-14 00:00,11.32,ImpulseDown,2,Başlangıç,2025-12-04 08:00,10.27,down,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-16 09:45,20,-,0,SAT,-50,2025-12-05 08:30,69,-,0,SAT,-50,2025-11-07 08:00,82,-,0,SAT,-50,2025-12-08 00:00,6,0,0,0,0,0,9.74,10.50,0.70,-6.64,131013708,17.754387,1.31,"ATR Oranı düşük (2.53%) | Gelişmiş Cup & Handle | ATR STOP: 9.74, TP: 10.5 | 1H:%0.7 | 1A:%-6.64",4,3.75,0,0,1,0,0,-17.40,-20.46,-9449055.00,0,-4.21,6682021327.81,176047708.86,True,-0.07,0.00,False,-2.00,3.00,0.00,False,0.01,0.03,12464076584.52,AKD nötr/negatif,-0.69,53.61,37.96,-0.05,13.00,8.79
AKSGY,2025-12-16,7.53,0,0,0,0,7.59,7.52,-0.02,-0.04,1,49.75,13.96,-3303155.00,7.34,7.48,7.63,3.78,0,26.39,7.49,0,0,0,0,0,0,ImpulseUp,2,Orta,2025-10-02 00:00,8.15,ImpulseUp,3,Orta,2025-12-09 04:00,7.39,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-09 13:15,171,-,0,AL,50,2025-12-09 12:30,47,-,0,AL,50,2025-12-16 04:00,2,-,0,-,0,,,0,0,0,0,0,7.31,7.75,0.27,-0.26,31131227,3.727723,0.44,"ATR Oranı düşük (1.92%) | ATR STOP: 7.31, TP: 7.75 | 1H:%0.27 | 1A:%-0.26",1,2.92,0,0,0,0,0,-26.39,-7.49,-3303155.00,0,-21.66,-9994771853.66,93987624.71,False,-0.00,-0.02,False,0.00,-3.00,-1.00,False,0.00,0.01,9782515397.43,AKD nötr/negatif,-1.31,-102.17,-106.34,-0.01,-15.00,-36.66
ALCTL,2025-12-16,108.30,0,0,0,0,110.83,108.63,-1.68,-2.03,1,47.73,9.44,430352.00,102.89,108.50,114.12,10.35,0,16.14,26.73,0,100,0,0,0,0,ImpulseUp,2,Başlangıç,2025-09-22 00:00,125.00,ImpulseUp,5,Orta,2025-12-16 08:00,105.8,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-16 13:45,4,-,0,SAT,-50,2025-11-11 12:30,227,-,0,SAT,-50,2025-11-11 12:00,75,-,0,SAT,-50,2025-11-26 00:00,14,0,0,0,0,0,102.43,114.17,1.88,-1.81,43383586,16.509148,1.34,"ATR Oranı düşük (3.61%) | ATR STOP: 102.43, TP: 114.17 | 1H:%1.88 | 1A:%-1.81",3,5.42,0,0,0,0,0,-16.14,-26.73,430352.00,0,-4.02,93660750.71,35031914.57,True,0.05,0.03,True,2.00,3.00,2.00,False,0.03,0.08,1465710106.80,AKD pozitif (1g norm),1.21,6.39,2.67,0.05,35.00,30.98
ALFAS,2025-12-16,44.52,0,0,0,0,43.72,43.86,0.18,-0.02,1,53.43,32.67,-1388183.00,41.86,43.71,45.55,8.44,0,16.05,47.35,0,100,0,0,0,0,ImpulseUp,5,Orta,2025-11-28 00:00,41.56,ImpulseUp,3,Orta,2025-12-05 04:00,42.88,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-12 06:45,98,-,0,AL,50,2025-12-12 07:30,25,-,0,AL,50,2025-12-08 12:00,18,-,0,SAT,-50,2025-11-24 00:00,16,0,0,0,0,0,42.16,46.88,2.82,-8.21,102518897,0,3.08,"ATR Oranı düşük (3.54%) | ATR STOP: 42.16, TP: 46.88 | 1H:%2.82 | 1A:%-8.21",3,5.30,0,0,0,0,0,-16.05,-47.35,-1388183.00,0,-10.15,697742132.72,105427765.14,True,-0.01,-0.00,False,0.00,3.00,1.00,False,0.02,0.12,3764994161.04,AKD nötr/negatif,-1.63,18.53,6.62,-0.01,20.00,9.85
ALGYO,2025-12-16,29.02,-50,0,4,0,29.46,29.13,0.27,0.56,0,51.03,37.96,1775843.00,27.67,29.72,31.77,13.79,1,67.75,9.03,0,0,1,0,0,0,ImpulseUp,4,Orta,2025-11-25 00:00,32.38,ImpulseDown,3,Orta,2025-12-10 08:00,31.1,up,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-15 11:30,46,-,0,SAT,-50,2025-12-11 10:30,31,-,0,AL,50,2025-10-21 04:00,118,-,0,-,0,,,0,0,0,0,0,27.01,31.03,-3.40,-5.78,92995764,16.488636,0.47,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (4.61%) | Gelişmiş Cup & Handle | ATR STOP: 27.01, TP: 31.03 | 1H:%-3.4 | 1A:%-5.78",3,6.93,0,0,1,0,0,-67.75,-9.03,1775843.00,0,-51.52,-987065116.37,74207766.29,False,-0.06,-0.04,False,-2.00,-3.00,-2.00,False,0.01,0.07,4097149232.80,AKD nötr/negatif,0.42,-24.09,-13.30,-0.06,-16.00,-67.52
ALKA,2025-12-16,12.24,100,3,0,0,10.78,10.05,0.07,-0.38,1,71.05,20.61,36119952.00,8.00,9.66,11.31,34.31,0,93.36,23.45,0,100,0,0,0,0,ImpulseDown,4,Orta,2025-12-05 00:00,8.78,ImpulseUp,2,Düşüş Başlangıcı,2025-12-01 08:00,9.22,down,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-12 07:15,96,-,0,AL,50,2025-12-09 09:30,50,-,0,AL,50,2025-12-15 12:00,3,-,0,AL,50,2025-12-10 00:00,4,0,1,0,0,0,11.30,13.18,23.26,17.13,92153205,0,4.28,"ATR Oranı düşük (5.12%) | ATR STOP: 11.3, TP: 13.18 | 1H:%23.26 | 1A:%17.13 | Confirmed BUY (alphaTrend teyidi) | Volume Delta pozitif",6,7.68,1,1,0,0,0,-93.36,-23.45,36119952.00,0,-66.38,354855417.03,120930914.71,True,0.01,0.01,False,0.00,3.00,1.00,False,0.25,0.65,1701482791.68,AKD nötr/negatif,9.97,20.86,2.93,0.01,36.00,-30.38
ALKIM,2025-12-16,18.14,100,3,0,0,16.78,16.89,0.00,-0.36,1,65.00,24.63,5387905.00,15.08,16.42,17.76,16.35,0,31.07,23.97,0,100,1,0,0,0,ImpulseDown,4,Orta,2025-11-14 00:00,15.53,ImpulseUp,2,Düşüş Başlangıcı,2025-11-24 04:00,17.0,down,2025-12-16 00:00,up,2025-12-16 12:00,-,0,AL,50,AL,50,-,0,AL,50,2025-12-15 07:00,64,-,0,AL,50,2025-12-05 10:30,67,-,0,AL,50,2025-12-16 04:00,2,-,0,SAT,-50,2025-11-13 00:00,23,0,0,0,0,0,17.08,19.20,6.52,12.81,45412983,0,1.25,"ATR Oranı düşük (3.89%) | Gelişmiş Cup & Handle | ATR STOP: 17.08, TP: 19.2 | 1H:%6.52 | 1A:%12.81 | Volume Delta pozitif",6,5.84,1,1,1,0,0,-31.07,-23.97,5387905.00,0,-5.01,319481213.99,65144009.71,True,0.02,0.00,False,0.00,3.00,1.00,False,0.04,0.13,2541617839.18,AKD nötr/negatif,1.97,12.57,4.90,0.01,30.00,24.99
ALKLC,2025-12-16,179.00,50,4,0,0,157.99,132.80,21.52,14.37,1,85.09,46.56,-1705519.00,68.95,125.40,181.85,90.03,1,618.53,0.50,100,0,1,0,0,0,ImpulseUp,3,Başlangıç,2025-10-22 00:00,84.60,ImpulseUp,5,Başlangıç,2025-12-16 08:00,169.2,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-01 07:45,391,-,0,AL,50,2025-11-19 09:30,176,-,0,AL,50,2025-11-20 12:00,54,-,0,-,0,,,0,1,0,0,0,162.78,195.22,25.17,141.40,525995581,128.77698,8.44,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATH Breakout! (uzaklık %0.5) | ATR Oranı düşük (6.04%) | Gelişmiş Cup & Handle | ATR STOP: 162.78, TP: 195.22 | 1H:%25.17 | 1A:%141.4 | Confirmed BUY (alphaTrend teyidi)",9,9.06,2,0,1,0,0,-618.53,-0.50,-1705519.00,0,-579.54,774233098.21,385666382.29,True,0.05,0.00,True,0.00,3.00,1.00,False,0.04,0.11,7118221221.00,AKD pozitif (1g norm),-0.50,10.88,2.01,0.04,26.00,-553.54
ALTNY,2025-12-16,62.30,0,0,0,0,63.04,62.92,-0.42,-0.78,1,45.61,16.95,-2174645.00,60.18,62.37,64.55,7.01,0,2.64,38.19,0,100,1,0,1,0,ImpulseDown,3,Düşüş Başlangıcı,2025-10-30 00:00,71.75,ImpulseUp,2,Orta,2025-12-03 04:00,62.95,down,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-11 10:15,117,-,0,SAT,-50,2025-12-16 11:30,3,-,0,SAT,-50,2025-12-11 12:00,9,-,0,SAT,-50,2025-08-05 00:00,94,0,0,0,0,0,59.57,65.03,-3.11,-4.15,187159205,34.41989,3.37,"ATR Oranı düşük (2.92%) | Gelişmiş TOBO formasyonu | Gelişmiş Cup & Handle | ATR STOP: 59.57, TP: 65.03 | 1H:%-3.11 | 1A:%-4.15",3,4.38,0,0,1,0,0,-2.64,-38.19,-2174645.00,0,4.54,7708985791.97,189004261.00,True,-0.00,-0.01,False,0.00,3.00,1.00,False,0.02,0.11,5859428199.10,AKD nötr/negatif,-1.74,131.57,40.79,-0.01,14.00,18.54
ALVES,2025-12-16,24.60,0,0,0,0,24.92,24.96,-0.70,-0.88,1,42.59,20.08,-2384641.00,22.97,24.73,26.48,14.22,0,4.15,39.50,0,100,0,0,0,0,ImpulseDown,3,Düşüş Başlangıcı,2025-10-21 00:00,29.66,ImpulseDown,3,Orta,2025-12-04 12:00,25.76,down,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-15 07:00,64,-,0,AL,50,2025-12-15 06:30,17,-,0,SAT,-50,2025-09-26 12:00,167,-,0,SAT,-50,2025-10-02 00:00,52,0,0,0,0,0,23.51,25.69,2.41,-6.68,135228091,0,1.53,"ATR Oranı düşük (2.97%) | ATR STOP: 23.51, TP: 25.69 | 1H:%2.41 | 1A:%-6.68",2,4.43,0,0,0,0,0,-4.15,-39.50,-2384641.00,0,-1.43,2219885474.89,68202529.29,True,0.01,0.02,False,0.00,3.00,1.00,False,0.03,0.10,2120575325.40,AKD nötr/negatif,-0.65,104.68,32.55,0.01,14.00,12.57
