Sembol,Tarih,Fiyat (Son),Sinyal,Skor (Al),Skor (Sat),Elmas Formasyonu,AlphaTrend,MA,MACD,MACD_Signal,MACD_Positive,RSI,ADX,OBV_Diff,BB_Low,BB_Mavg,BB_High,BB_W,EMA20_gt_EMA50_gt_EMA200,Dipten Uzaklık (%),ATH'ye Uzaklık (%),ATH Breakout,ATH Dip Potansiyeli,Cup&Handle Formasyonu,Bull Flag Formasyonu,TOBO Formasyonu,Gelişmiş TOBO,EW_WaveType_1d,EW_CurrentWave_1d,EW_Phase_1d,EW_LastPivotTime_1d,EW_LastPivotPrice_1d,EW_WaveType_4h,EW_CurrentWave_4h,EW_Phase_4h,EW_LastPivotTime_4h,EW_LastPivotPrice_4h,EW_Direction_1d,EW_AsOf_1d,EW_Direction_4h,EW_AsOf_4h,EMA5_137 Sinyal,EMA5_137 Sinyal_Numeric,EMA3_199 Sinyal,EMA3_199 Sinyal_Numeric,EMA3_200 Sinyal,EMA3_200 Sinyal_Numeric,SMA5_137_15m_Sinyal,SMA5_137_15m_Sinyal_Numeric,SMA5_137_15m_Sinyal_Filt,SMA5_137_15m_Sinyal_Filt_Numeric,SMA5_137_15m_CrossTime,SMA5_137_15m_BarsSinceCross,SMA5_137_1h_Sinyal,SMA5_137_1h_Sinyal_Numeric,SMA5_137_1h_Sinyal_Filt,SMA5_137_1h_Sinyal_Filt_Numeric,SMA5_137_1h_CrossTime,SMA5_137_1h_BarsSinceCross,SMA5_137_4h_Sinyal,SMA5_137_4h_Sinyal_Numeric,SMA5_137_4h_Sinyal_Filt,SMA5_137_4h_Sinyal_Filt_Numeric,SMA5_137_4h_CrossTime,SMA5_137_4h_BarsSinceCross,SMA5_137_1d_Sinyal,SMA5_137_1d_Sinyal_Numeric,SMA5_137_1d_Sinyal_Filt,SMA5_137_1d_Sinyal_Filt_Numeric,SMA5_137_1d_CrossTime,SMA5_137_1d_BarsSinceCross,CandleGoldenCross_Over,Confirmed_BUY,Confirmed_SELL,CandleGoldenCross_Over_Confirmed_BUY,Confirmed_SELL_CandleCrossUnder,STOP Fiyat,TP Fiyat,Haftalık Değişim (%),Aylık Değişim (%),Ortalama Hacim (TL),F/K,PD/DD,Yorumlar,PUANLAMA_V4,TP Oran (%),Sinyal_Sort,VolumeDeltaUp_Sort,Formasyon_Sort,FormasyonTazeKirilim,BONUS_SCORE,DipSkor,ATHSkor,OBVSkor,TazeSkor,FinalSkorEx,__FDTT_NET_TL,__FDTT_ADV7_TL,KURUM_FDTT_SINYAL,__AKD_1D_NET_TL_NORM_ND,__AKD_3D_NET_TL_NORM_ND,KURUM_AKD_SINYAL,__AKD_PUAN,__FDTT_PUAN,__KURUM_PUAN,AL_VETO_SHOCK,__TURNOVER_1D,__TURNOVER_3D,__FF_MCAP,AKD_NOTE,GUNLUK_FARK,__FDTT_NET_PP,__FDTT_NET_TL_NORM,__AKD_RECENCY_COMBO,KURUM_AKD_SKOR,FinalSkorPlus,Kural,Kural_Adi,Kural_Listesi,Kural_Sayisi,KaynakReiter
SKYLP,2025-12-16,260.0,0,0,0,0,259.76,248.12,9.06,16.42,0,55.07,17.61,75919.0,214.05,259.83,305.61,35.24,1,255.68,15.31,0,0,0,0,0,0,ImpulseUp,3,Orta,2025-11-27 00:00,227.0,ImpulseDown,2,Orta,2025-11-27 12:00,227.0,up,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-08 06:45,27,AL,50,AL,50,2025-12-16 14:30,0.0,-,0,AL,50,2025-10-20 12:00,119.0,-,0,AL,50,2025-08-12 00:00,90.0,0,0,0,0,0,232.09,287.91,4.29,-9.57,20973522,0.0,10.77,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (7.16%) | ATR STOP: 232.09, TP: 287.91 | 1H:%4.29 | 1A:%-9.57",3,10.73,0,0,0,0,0,-255.68,-15.31,75919.0,0,-241.5,2206784103.31,27878759.86,True,-0.05,-0.16,False,-4.0,3.0,-1.0,False,0.01,0.04,1324024780.0,AKD nötr/negatif,6.17,166.67,79.16,-0.08,8.0,-233.5,KURAL3_Dip_EMA,"Dipten Uzaklık desc, EMA5_137 Sinyal_Numeric desc, FinalSkorPlus(desc, ops)",KURAL3_Dip_EMA,1,"Dipten Uzaklık desc, EMA5_137 Sinyal_Numeric desc, FinalSkorPlus(desc, ops)"
ODINE,2025-12-16,289.0,50,4,0,0,266.99,260.71,15.41,12.18,1,71.15,32.2,416737.0,205.2,252.25,299.3,37.31,1,318.84,3.02,0,0,0,0,0,0,ImpulseUp,5,Başlangıç,2025-11-27 00:00,206.8,ImpulseUp,3,Başlangıç,2025-12-04 12:00,253.25,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-02 09:45,350,-,0,AL,50,2025-12-03 06:30,89.0,-,0,AL,50,2025-06-26 04:00,364.0,-,0,AL,50,2025-07-22 00:00,104.0,0,1,0,0,0,268.56,309.44,4.71,16.34,280847721,85.0,15.57,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (4.72%) | ATR STOP: 268.56, TP: 309.44 | 1H:%4.71 | 1A:%16.34 | Confirmed BUY (alphaTrend teyidi)",7,7.07,2,0,0,0,0,-318.84,-3.02,416737.0,0,-286.02,51993153.47,116659903.57,True,0.06,0.07,True,2.0,1.0,2.0,False,0.02,0.03,7919962057.0,AKD pozitif (1g norm),1.94,0.66,0.45,0.06,47.0,-239.02,KURAL3_Dip_EMA,"Dipten Uzaklık desc, EMA5_137 Sinyal_Numeric desc, FinalSkorPlus(desc, ops)",KURAL3_Dip_EMA,1,"Dipten Uzaklık desc, EMA5_137 Sinyal_Numeric desc, FinalSkorPlus(desc, ops)"
TEKTU,2025-12-16,13.29,0,0,0,0,12.49,13.46,-0.41,-0.84,1,46.6,16.0,-18799223.0,10.4,12.65,14.89,35.49,0,255.35,59.6,0,100,1,0,0,0,ImpulseDown,2,Başlangıç,2025-09-22 00:00,17.46,ImpulseUp,5,Yükseliş Başlangıcı,2025-12-12 08:00,13.01,down,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-16 12:00,11,-,0,AL,50,2025-12-01 06:30,107.0,-,0,SAT,-50,2025-10-21 12:00,116.0,-,0,SAT,-50,2025-11-06 00:00,28.0,0,0,0,0,0,11.46,15.12,-4.46,17.71,170858715,0.0,0.68,"ATR Oranı yüksek (9.17%) | Gelişmiş Cup & Handle | ATR STOP: 11.46, TP: 15.12 | 1H:%-4.46 | 1A:%17.71",3,13.77,0,0,1,0,0,-255.35,-59.6,-18799223.0,0,-254.48,488026761.39,416248963.71,True,-0.03,-0.03,False,0.0,3.0,1.0,False,0.1,0.28,2596297001.94,AKD nötr/negatif,-3.35,18.8,1.17,-0.03,14.0,-240.48,KURAL3_Dip_EMA,"Dipten Uzaklık desc, EMA5_137 Sinyal_Numeric desc, FinalSkorPlus(desc, ops)",KURAL3_Dip_EMA,1,"Dipten Uzaklık desc, EMA5_137 Sinyal_Numeric desc, FinalSkorPlus(desc, ops)"
CEMZY,2025-12-16,41.96,-50,0,4,0,43.52,42.99,0.15,0.96,0,48.0,21.63,4715383.0,37.0,43.62,50.24,30.36,1,280.42,25.07,0,100,1,0,0,0,ImpulseUp,3,Orta,2025-11-18 00:00,34.36,ImpulseDown,3,Düşüş Başlangıcı,2025-12-11 04:00,44.24,up,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,AL,50,AL,50,2025-12-16 14:45,0,-,0,SAT,-50,2025-12-09 07:30,52.0,-,0,SAT,-50,2025-12-12 08:00,7.0,-,0,AL,50,2025-07-21 00:00,105.0,0,0,0,0,0,37.04,46.88,-1.27,19.82,175728875,0.0,4.18,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (7.82%) | Gelişmiş Cup & Handle | ATR STOP: 37.04, TP: 46.88 | 1H:%-1.27 | 1A:%19.82",4,11.73,0,0,1,0,0,-280.42,-25.07,4715383.0,0,-262.67,8138710343.37,107936311.43,True,-0.02,-0.02,False,0.0,3.0,1.0,False,0.04,0.06,5206632405.4,AKD nötr/negatif,2.24,156.31,75.4,-0.02,18.0,-244.67,KURAL3_Dip_EMA,"Dipten Uzaklık desc, EMA5_137 Sinyal_Numeric desc, FinalSkorPlus(desc, ops)",KURAL3_Dip_EMA,1,"Dipten Uzaklık desc, EMA5_137 Sinyal_Numeric desc, FinalSkorPlus(desc, ops)"
BMSTL,2025-12-16,118.0,100,3,0,0,106.81,107.22,6.13,7.63,0,60.42,46.31,1179836.0,91.35,110.39,129.43,34.5,1,325.99,6.65,0,0,1,0,0,0,ImpulseUp,5,Orta,2025-12-10 00:00,94.2,ImpulseUp,3,Orta,2025-12-04 12:00,113.8,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-11 10:15,117,-,0,AL,50,2025-12-15 12:30,11.0,-,0,AL,50,2025-10-30 08:00,100.0,-,0,-,0,,,0,0,0,0,0,103.63,132.37,16.03,10.59,463515957,0.0,13.37,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı yüksek (8.12%) | Gelişmiş Cup & Handle | ATR STOP: 103.63, TP: 132.37 | 1H:%16.03 | 1A:%10.59",7,12.18,1,0,1,0,0,-325.99,-6.65,1179836.0,0,-293.46,1842232048.38,231153074.29,True,-0.01,0.05,False,0.0,3.0,1.0,False,0.02,0.05,8821501702.0,AKD nötr/negatif,1.2,20.88,7.97,0.01,21.0,-272.46,KURAL3_Dip_EMA,"Dipten Uzaklık desc, EMA5_137 Sinyal_Numeric desc, FinalSkorPlus(desc, ops)",KURAL3_Dip_EMA,1,"Dipten Uzaklık desc, EMA5_137 Sinyal_Numeric desc, FinalSkorPlus(desc, ops)"
RALYH,2025-12-16,211.0,0,0,0,0,205.16,206.73,3.99,4.83,0,57.27,19.7,810558.0,197.18,209.26,221.35,11.55,1,316.93,2.85,100,0,0,0,0,0,ImpulseUp,3,Başlangıç,2025-11-12 00:00,177.0,ImpulseUp,2,Başlangıç,2025-11-27 04:00,218.3,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-15 09:45,53,-,0,AL,50,2025-12-15 11:30,12.0,-,0,AL,50,2025-09-11 08:00,201.0,-,0,-,0,,,0,0,0,0,0,197.24,224.76,1.1,8.15,382259089,44.51477,13.36,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATH Breakout! (uzaklık %2.85) | ATR Oranı düşük (4.35%) | ATR STOP: 197.24, TP: 224.76 | 1H:%1.1 | 1A:%8.15",3,6.52,0,0,0,0,0,-316.93,-2.85,810558.0,0,-299.86,20501174755.57,243380233.0,True,-0.03,0.0,False,0.0,3.0,1.0,False,0.01,0.03,27942055222.0,AKD nötr/negatif,0.24,73.37,84.24,-0.02,24.0,-275.86,KURAL3_Dip_EMA,"Dipten Uzaklık desc, EMA5_137 Sinyal_Numeric desc, FinalSkorPlus(desc, ops)",KURAL3_Dip_EMA,1,"Dipten Uzaklık desc, EMA5_137 Sinyal_Numeric desc, FinalSkorPlus(desc, ops)"
MANAS,2025-12-16,16.09,50,4,0,0,14.77,12.16,1.85,0.89,1,70.15,49.35,-14979916.0,5.59,11.2,16.82,100.24,1,224.4,9.96,0,0,0,0,0,0,ImpulseUp,2,Düşüş Başlangıcı,2025-09-08 00:00,11.11,ImpulseUp,2,Düşüş Başlangıcı,2025-11-24 08:00,10.2,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-05 10:00,250,-,0,AL,50,2025-12-05 14:30,63.0,-,0,AL,50,2025-11-07 04:00,83.0,-,0,AL,50,2025-11-05 00:00,29.0,0,1,0,0,0,14.17,18.01,19.72,52.8,353279727,0.0,3.36,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (7.95%) | ATR STOP: 14.17, TP: 18.01 | 1H:%19.72 | 1A:%52.8 | Confirmed BUY (alphaTrend teyidi)",8,11.93,2,0,0,0,0,-224.4,-9.96,-14979916.0,0,-193.36,-475870615.85,170096857.0,False,-0.11,-0.02,False,-4.0,-3.0,-4.0,True,0.13,0.44,1976993054.53,AKD/Taban veto,-9.96,-24.07,-2.8,-0.08,-97.0,-290.36,KURAL3_Dip_EMA,"Dipten Uzaklık desc, EMA5_137 Sinyal_Numeric desc, FinalSkorPlus(desc, ops)",KURAL3_Dip_EMA,1,"Dipten Uzaklık desc, EMA5_137 Sinyal_Numeric desc, FinalSkorPlus(desc, ops)"
ISKPL,2025-12-16,12.07,50,4,0,0,11.33,10.57,0.81,0.49,1,69.66,35.5,-18493534.0,7.54,10.17,12.79,51.63,1,367.16,1.07,100,0,1,1,0,0,ImpulseUp,3,Başlangıç,2025-11-12 00:00,8.78,ImpulseUp,2,Düşüş Başlangıcı,2025-12-01 04:00,9.0,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-16 14:15,2,-,0,AL,50,2025-12-04 09:30,77.0,-,0,AL,50,2025-12-04 08:00,25.0,-,0,-,0,,,0,1,0,0,0,11.13,13.01,-0.49,30.91,143072565,36.02985,7.29,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATH Breakout! (uzaklık %1.07) | ATR Oranı düşük (5.2%) | Gelişmiş Cup & Handle | Gelişmiş Bull Flag | ATR STOP: 11.13, TP: 13.01 | 1H:%-0.49 | 1A:%30.91 | Confirmed BUY (alphaTrend teyidi)",8,7.79,2,0,1,0,0,-367.16,-1.07,-18493534.0,0,-334.56,4545655789.41,255903745.86,True,-0.01,-0.07,False,0.0,3.0,1.0,False,0.04,0.18,5933773593.16,AKD nötr/negatif,-1.07,76.61,17.76,-0.03,23.0,-311.56,KURAL3_Dip_EMA,"Dipten Uzaklık desc, EMA5_137 Sinyal_Numeric desc, FinalSkorPlus(desc, ops)",KURAL3_Dip_EMA,1,"Dipten Uzaklık desc, EMA5_137 Sinyal_Numeric desc, FinalSkorPlus(desc, ops)"
KTLEV,2025-12-16,16.98,100,3,0,0,17.28,16.85,0.77,0.98,0,54.82,38.71,43160836.0,13.83,16.69,19.55,34.23,1,350.36,8.41,0,0,1,0,0,0,ImpulseUp,5,Başlangıç,2025-11-21 00:00,14.0,,-,Orta,,,up,2025-12-16 00:00,,,-,0,-,0,-,0,-,0,SAT,-50,2025-12-12 09:45,86,-,0,-,0,,,-,0,-,0,,,-,0,-,0,,,0,0,0,0,0,15.56,18.4,-4.61,11.93,815302946,5.6225166,4.38,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (5.57%) | Gelişmiş Cup & Handle | ATR STOP: 15.56, TP: 18.4 | 1H:%-4.61 | 1A:%11.93",3,8.36,1,0,1,0,0,-350.36,-8.41,43160836.0,0,-332.35,35796633274.42,748893154.43,True,-0.01,-0.02,False,0.0,3.0,1.0,False,0.06,0.18,12891267653.16,AKD nötr/negatif,0.89,277.68,47.8,-0.01,15.0,-317.35,KURAL3_Dip_EMA,"Dipten Uzaklık desc, EMA5_137 Sinyal_Numeric desc, FinalSkorPlus(desc, ops)",KURAL3_Dip_EMA,1,"Dipten Uzaklık desc, EMA5_137 Sinyal_Numeric desc, FinalSkorPlus(desc, ops)"
GMTAS,2025-12-16,45.24,0,0,0,0,43.44,45.14,0.5,0.67,0,52.82,33.75,1104342.0,44.26,45.49,46.71,5.41,1,384.26,7.97,0,0,1,1,0,0,ImpulseUp,3,Orta,2025-10-30 00:00,40.86,ImpulseUp,2,Başlangıç,2025-12-08 04:00,47.3,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-16 12:15,10,-,0,AL,50,2025-12-16 09:30,5.0,-,0,AL,50,2025-05-12 12:00,451.0,-,0,-,0,,,0,0,0,0,0,42.51,47.97,0.62,-0.31,97914761,0.0,1.89,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (4.03%) | Gelişmiş Cup & Handle | Gelişmiş Bull Flag | ATR STOP: 42.51, TP: 47.97 | 1H:%0.62 | 1A:%-0.31",5,6.03,0,0,1,0,0,-384.26,-7.97,1104342.0,0,-360.06,6612101209.46,115983209.57,True,0.07,0.02,True,2.0,3.0,2.0,False,0.01,0.04,6023160224.64,AKD pozitif (1g norm),0.53,109.78,57.01,0.06,38.0,-322.06,KURAL3_Dip_EMA,"Dipten Uzaklık desc, EMA5_137 Sinyal_Numeric desc, FinalSkorPlus(desc, ops)",KURAL3_Dip_EMA,1,"Dipten Uzaklık desc, EMA5_137 Sinyal_Numeric desc, FinalSkorPlus(desc, ops)"
TMPOL,2025-12-16,336.5,-50,0,4,0,365.41,342.41,26.18,38.08,0,51.62,24.34,-376608.0,256.71,347.61,438.52,52.3,1,410.62,22.2,0,100,1,0,0,0,ImpulseUp,5,Başlangıç,2025-10-17 00:00,173.7,ImpulseDown,3,Orta,2025-12-11 04:00,397.0,up,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,SAT,-50,SAT,-50,2025-12-16 14:45,0,-,0,AL,50,2025-11-03 09:30,176.0,-,0,AL,50,2025-07-04 12:00,344.0,-,0,AL,50,2025-07-10 00:00,112.0,0,0,0,0,0,283.7,389.3,-11.45,26.86,177702708,134.6,5.71,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı yüksek (10.46%) | Gelişmiş Cup & Handle | ATR STOP: 283.7, TP: 389.3 | 1H:%-11.45 | 1A:%26.86",3,15.69,0,0,1,0,0,-410.62,-22.2,-376608.0,0,-398.34,7025830390.05,202000385.14,True,0.0,-0.02,False,0.0,3.0,1.0,False,0.05,0.15,2585594325.5,AKD nötr/negatif,-4.27,271.73,34.78,-0.0,16.0,-382.34,KURAL3_Dip_EMA,"Dipten Uzaklık desc, EMA5_137 Sinyal_Numeric desc, FinalSkorPlus(desc, ops)",KURAL3_Dip_EMA,1,"Dipten Uzaklık desc, EMA5_137 Sinyal_Numeric desc, FinalSkorPlus(desc, ops)"
GUNDG,2025-12-16,229.9,50,4,0,0,211.57,183.44,31.76,27.06,1,68.77,58.85,-195627.0,96.02,176.91,257.8,91.45,1,435.38,9.93,0,0,0,0,0,0,ImpulseUp,3,Başlangıç,2025-09-23 00:00,89.38,ImpulseUp,5,Başlangıç,2025-12-08 04:00,172.2,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-10 13:00,110,-,0,AL,50,2025-11-18 07:30,182.0,-,0,AL,50,2025-11-19 04:00,59.0,-,0,-,0,,,0,1,0,0,0,202.98,256.82,16.94,144.13,116514986,0.0,0.0,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (7.81%) | ATR STOP: 202.98, TP: 256.82 | 1H:%16.94 | 1A:%144.13 | Confirmed BUY (alphaTrend teyidi)",8,11.71,2,0,0,0,0,-435.38,-9.93,-195627.0,0,-400.45,9953981092.29,110124004.29,True,-0.07,-0.04,False,-2.0,3.0,0.0,True,0.02,0.1,2425607769.2,AKD/Taban veto,-9.93,410.37,90.39,-0.06,-38.0,-438.45,KURAL3_Dip_EMA,"Dipten Uzaklık desc, EMA5_137 Sinyal_Numeric desc, FinalSkorPlus(desc, ops)",KURAL3_Dip_EMA,1,"Dipten Uzaklık desc, EMA5_137 Sinyal_Numeric desc, FinalSkorPlus(desc, ops)"
POLHO,2025-12-16,17.89,50,4,0,0,17.15,17.59,0.33,0.27,1,53.87,16.44,-1705223.0,14.86,17.13,19.39,26.45,1,731.3,22.69,0,100,1,0,0,0,ImpulseDown,3,Orta,2025-11-04 00:00,19.65,ImpulseDown,2,Orta,2025-12-04 08:00,16.59,down,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-15 14:15,35,-,0,AL,50,2025-12-01 10:30,103.0,-,0,AL,50,2025-12-05 08:00,22.0,-,0,-,0,,,0,0,0,0,0,16.62,19.16,0.06,4.99,103949303,0.0,4.86,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (4.75%) | Gelişmiş Cup & Handle | ATR STOP: 16.62, TP: 19.16 | 1H:%0.06 | 1A:%4.99",5,7.1,2,0,1,0,0,-731.3,-22.69,-1705223.0,0,-712.73,-9771128780.43,92932394.43,False,0.03,0.03,False,0.0,-3.0,-1.0,False,0.01,0.05,2934915952.15,AKD nötr/negatif,-1.11,-332.93,-105.14,0.03,-6.0,-718.73,KURAL3_Dip_EMA,"Dipten Uzaklık desc, EMA5_137 Sinyal_Numeric desc, FinalSkorPlus(desc, ops)",KURAL3_Dip_EMA,1,"Dipten Uzaklık desc, EMA5_137 Sinyal_Numeric desc, FinalSkorPlus(desc, ops)"
