rule_type,conditions,N,Ret_Mean,TopRate,Lift,level
pair,"[{""col"": ""FinalSkorEx"", ""op"": ""in_bin"", ""val"": {""left"": -978.481, ""right"": -52.5, ""closed"": ""right""}}, {""col"": ""SMA5_137_4h_Sinyal_Filt"", ""op"": ""=="", ""val"": ""AL""}]",1010,14.597532734797982,0.2386138613861386,0.1386138613861386,pair
pair,"[{""col"": ""FinalSkorEx"", ""op"": ""in_bin"", ""val"": {""left"": -978.481, ""right"": -52.5, ""closed"": ""right""}}, {""col"": ""SMA5_137_4h_Sinyal_Filt_Numeric"", ""op"": ""=="", ""val"": 50.0}]",1010,14.597532734797982,0.2386138613861386,0.1386138613861386,pair
pair,"[{""col"": ""FinalSkorEx"", ""op"": ""in_bin"", ""val"": {""left"": -978.481, ""right"": -52.5, ""closed"": ""right""}}, {""col"": ""PUANLAMA_V4"", ""op"": ""in_bin"", ""val"": {""left"": 3.0, ""right"": 13.0, ""closed"": ""right""}}]",1365,14.262150648088037,0.2336996336996337,0.1336996336996337,pair
pair,"[{""col"": ""DipSkor"", ""op"": ""in_bin"", ""val"": {""left"": -1026.3709999999999, ""right"": -64.61, ""closed"": ""right""}}, {""col"": ""SMA5_137_4h_Sinyal_Filt"", ""op"": ""=="", ""val"": ""AL""}]",1140,13.937752155911678,0.23157894736842105,0.13157894736842105,pair
pair,"[{""col"": ""DipSkor"", ""op"": ""in_bin"", ""val"": {""left"": -1026.3709999999999, ""right"": -64.61, ""closed"": ""right""}}, {""col"": ""SMA5_137_4h_Sinyal_Filt_Numeric"", ""op"": ""=="", ""val"": 50.0}]",1140,13.937752155911678,0.23157894736842105,0.13157894736842105,pair
pair,"[{""col"": ""Dipten Uzaklık (%)"", ""op"": ""in_bin"", ""val"": {""left"": 64.61, ""right"": 1026.37, ""closed"": ""right""}}, {""col"": ""SMA5_137_4h_Sinyal_Filt"", ""op"": ""=="", ""val"": ""AL""}]",1140,13.937752155911678,0.23157894736842105,0.13157894736842105,pair
pair,"[{""col"": ""Dipten Uzaklık (%)"", ""op"": ""in_bin"", ""val"": {""left"": 64.61, ""right"": 1026.37, ""closed"": ""right""}}, {""col"": ""SMA5_137_4h_Sinyal_Filt_Numeric"", ""op"": ""=="", ""val"": 50.0}]",1140,13.937752155911678,0.23157894736842105,0.13157894736842105,pair
pair,"[{""col"": ""TP Oran (%)"", ""op"": ""in_bin"", ""val"": {""left"": 7.66, ""right"": 52.4, ""closed"": ""right""}}, {""col"": ""ATH'ye Uzaklık (%)"", ""op"": ""in_bin"", ""val"": {""left"": -0.001, ""right"": 14.24, ""closed"": ""right""}}]",984,13.701492728575623,0.22560975609756098,0.12560975609756098,pair
pair,"[{""col"": ""TP Oran (%)"", ""op"": ""in_bin"", ""val"": {""left"": 7.66, ""right"": 52.4, ""closed"": ""right""}}, {""col"": ""ATHSkor"", ""op"": ""in_bin"", ""val"": {""left"": -14.24, ""right"": 0.0, ""closed"": ""right""}}]",981,13.607080762389662,0.2252803261977574,0.1252803261977574,pair
pair,"[{""col"": ""FinalSkorEx"", ""op"": ""in_bin"", ""val"": {""left"": -978.481, ""right"": -52.5, ""closed"": ""right""}}, {""col"": ""Confirmed_BUY"", ""op"": ""=="", ""val"": 1}]",353,12.07250228240626,0.2237960339943343,0.12379603399433428,pair
