rule_type,conditions,N,Ret_Mean,TopRate,Lift,level
pair,"[{""col"": ""EW_AsOf_1d"", ""op"": ""=="", ""val"": ""2025-10-21 00:00""}, {""col"": ""EW_WaveType_4h"", ""op"": ""=="", ""val"": ""ImpulseDown""}]",242,11.03128301824211,0.32644628099173556,0.22644628099173555,pair
pair,"[{""col"": ""EW_AsOf_1d"", ""op"": ""=="", ""val"": ""2025-10-21 00:00""}, {""col"": ""EW_Direction_1d"", ""op"": ""=="", ""val"": ""up""}]",168,10.593026164355106,0.32142857142857145,0.22142857142857145,pair
pair,"[{""col"": ""EW_AsOf_1d"", ""op"": ""=="", ""val"": ""2025-10-21 00:00""}, {""col"": ""EW_WaveType_1d"", ""op"": ""=="", ""val"": ""ImpulseUp""}]",168,10.593026164355106,0.32142857142857145,0.22142857142857145,pair
pair,"[{""col"": ""EW_AsOf_1d"", ""op"": ""=="", ""val"": ""2025-10-22 00:00""}, {""col"": ""EW_Direction_1d"", ""op"": ""=="", ""val"": ""up""}]",166,9.90835821978173,0.3192771084337349,0.2192771084337349,pair
pair,"[{""col"": ""EW_AsOf_1d"", ""op"": ""=="", ""val"": ""2025-10-22 00:00""}, {""col"": ""EW_WaveType_1d"", ""op"": ""=="", ""val"": ""ImpulseUp""}]",166,9.90835821978173,0.3192771084337349,0.2192771084337349,pair
pair,"[{""col"": ""EW_AsOf_4h"", ""op"": ""=="", ""val"": ""2025-10-21 12:00""}, {""col"": ""EW_AsOf_1d"", ""op"": ""=="", ""val"": ""2025-10-21 00:00""}]",325,10.676179006711669,0.3046153846153846,0.20461538461538462,pair
pair,"[{""col"": ""EW_AsOf_4h"", ""op"": ""=="", ""val"": ""2025-10-22 12:00""}, {""col"": ""EW_Direction_4h"", ""op"": ""=="", ""val"": ""down""}]",229,10.585778974476295,0.2925764192139738,0.1925764192139738,pair
pair,"[{""col"": ""EW_AsOf_4h"", ""op"": ""=="", ""val"": ""2025-10-22 12:00""}, {""col"": ""EW_WaveType_4h"", ""op"": ""=="", ""val"": ""ImpulseDown""}]",229,10.585778974476295,0.2925764192139738,0.1925764192139738,pair
pair,"[{""col"": ""EW_AsOf_1d"", ""op"": ""=="", ""val"": ""2025-10-22 00:00""}, {""col"": ""EW_Direction_4h"", ""op"": ""=="", ""val"": ""down""}]",229,10.585778974476295,0.2925764192139738,0.1925764192139738,pair
pair,"[{""col"": ""EW_AsOf_1d"", ""op"": ""=="", ""val"": ""2025-10-22 00:00""}, {""col"": ""EW_WaveType_4h"", ""op"": ""=="", ""val"": ""ImpulseDown""}]",229,10.585778974476295,0.2925764192139738,0.1925764192139738,pair
